pair,pairs_removed,total,proportion
"('roll', 'shovel')",2,5,0.4
"('round', 'corkscrew')",0,5,0.0
"('red', 'ambulance')",0,5,0.0
"('round', 'shape')",2,5,0.4
"('red', 'shallot')",0,5,0.0
"('round', 'bowl')",0,5,0.0
"('red', 'elm')",1,5,0.2
"('red', 'lark')",0,5,0.0
"('red', 'lingonberry')",3,5,0.6
"('red', 'lemon')",1,5,0.2
"('red', 'leafs')",2,5,0.4
"('round', 'ball')",0,5,0.0
"('red', 'lip')",2,5,0.4
"('roll', 'chamfer')",2,5,0.4
"('red', 'olive')",1,5,0.2
"('round', 'drumstick')",1,5,0.2
"('roll', 'plastic')",2,5,0.4
"('red', 'milk')",1,5,0.2
"('red', 'broccoli')",0,5,0.0
"('red', 'magpie')",0,5,0.0
"('roll', 'grindstone')",2,5,0.4
"('red', 'ink')",1,5,0.2
"('round', 'custard')",1,5,0.2
"('round', 'barrel')",0,5,0.0
"('red', 'robin')",1,5,0.2
"('round', 'dessert')",1,5,0.2
"('roll', 'tile')",2,5,0.4
"('round', 'salad')",2,5,0.4
"('round', 'bulgur')",1,5,0.2
"('red', 'strawberry')",0,5,0.0
"('roll', 'lamp')",4,5,0.8
"('round', 'cabbage')",0,5,0.0
"('round', 'marzipan')",4,5,0.8
"('roll', 'flywheel')",2,5,0.4
"('roll', 'bolt')",5,5,1.0
"('round', 'pumpkin')",1,5,0.2
"('round', 'disc')",3,5,0.6
"('red', 'apricot')",2,5,0.4
"('red', 'sauce')",1,5,0.2
"('round', 'vegetable')",1,5,0.2
"('red', 'flame')",4,5,0.8
"('red', 'cream')",2,5,0.4
"('red', 'anger')",0,5,0.0
"('roll', 'alloy')",3,6,0.5
"('red', 'aubergine')",1,6,0.16666666666666666
"('red', 'spice')",1,6,0.16666666666666666
"('roll', 'kiln')",4,6,0.6666666666666666
"('red', 'ant')",0,6,0.0
"('round', 'snack')",2,6,0.3333333333333333
"('roll', 'piston')",3,6,0.5
"('round', 'chocolate')",2,6,0.3333333333333333
"('red', 'melon')",1,5,0.2
"('roll', 'projectile')",3,5,0.6
"('red', 'ring')",0,5,0.0
"('round', 'egg')",3,5,0.6
"('red', 'chive')",0,5,0.0
"('red', 'hair')",2,5,0.4
"('round', 'cream')",0,5,0.0
"('round', 'fondant')",2,5,0.4
"('round', 'samosa')",0,5,0.0
"('red', 'coconut')",0,5,0.0
"('round', 'matzah')",0,5,0.0
"('red', 'chutney')",2,5,0.4
"('red', 'currant')",0,5,0.0
"('roll', 'pencil')",1,5,0.2
"('roll', 'handlebar')",4,5,0.8
"('round', 'bottle')",0,5,0.0
"('roll', 'cartridge')",3,5,0.6
"('round', 'spoon')",1,5,0.2
"('roll', 'handrail')",2,5,0.4
"('roll', 'boiler')",4,5,0.8
"('roll', 'pin')",0,5,0.0
"('round', 'sapodilla')",1,5,0.2
"('red', 'miner')",1,5,0.2
"('red', 'hazelnut')",2,5,0.4
"('red', 'crab')",1,5,0.2
"('red', 'celery')",1,5,0.2
"('roll', 'acrylic')",4,5,0.8
"('roll', 'wrench')",2,5,0.4
"('red', 'apple')",0,5,0.0
"('roll', 'brake')",4,5,0.8
"('red', 'jade')",2,10,0.2
"('roll', 'tappet')",6,10,0.6
"('round', 'berry')",2,10,0.2
"('roll', 'corkscrew')",2,10,0.2
"('roll', 'lathe')",4,10,0.4
"('red', 'limousine')",3,10,0.3
"('round', 'mozzarella')",3,10,0.3
"('round', 'blueberry')",0,10,0.0
"('roll', 'bearing')",2,10,0.2
"('red', 'sycamore')",1,10,0.1
"('roll', 'donkey')",1,10,0.1
"('round', 'onion')",3,10,0.3
"('round', 'circle')",2,10,0.2
"('round', 'bucket')",0,10,0.0
"('round', 'table')",2,10,0.2
"('roll', 'washer')",2,5,0.4
"('round', 'shoe')",2,5,0.4
"('round', 'cube')",1,5,0.2
"('round', 'globe')",0,5,0.0
"('red', 'quesadilla')",1,5,0.2
"('roll', 'firebox')",2,5,0.4
"('red', 'chicken')",2,5,0.4
"('red', 'blueberry')",0,5,0.0
"('round', 'pen')",0,5,0.0
"('round', 'seedpod')",2,5,0.4
"('roll', 'nozzle')",4,5,0.8
"('red', 'rooster')",4,5,0.8
"('roll', 'axle')",3,5,0.6
"('roll', 'urethane')",3,5,0.6
"('round', 'sauce')",1,5,0.2
"('round', 'seasoning')",1,5,0.2
"('round', 'cheeseburger')",0,5,0.0
"('round', 'gourd')",1,5,0.2
"('roll', 'bushing')",2,5,0.4
"('roll', 'car')",4,5,0.8
"('red', 'berry')",0,5,0.0
"('round', 'melon')",0,5,0.0
"('roll', 'bottle')",1,5,0.2
"('red', 'gherkin')",0,5,0.0
"('red', 'candy')",2,5,0.4
"('roll', 'backboard')",1,5,0.2
"('round', 'pineapple')",2,5,0.4
"('roll', 'crankshaft')",1,5,0.2
"('roll', 'slab')",0,5,0.0
"('red', 'beet')",0,5,0.0
"('red', 'fear')",0,5,0.0
"('round', 'can')",2,5,0.4
"('roll', 'vaporizer')",3,5,0.6
"('red', 'blackberry')",2,5,0.4
"('red', 'corncob')",1,5,0.2
"('red', 'grape')",3,5,0.6
"('round', 'tray')",0,5,0.0
"('roll', 'tray')",4,5,0.8
"('red', 'weed')",0,6,0.0
"('roll', 'roller')",2,6,0.3333333333333333
"('round', 'pastry')",1,6,0.16666666666666666
"('roll', 'headboard')",2,5,0.4
"('roll', 'crosshead')",3,6,0.5
"('roll', 'hose')",4,6,0.6666666666666666
"('roll', 'plaster')",2,6,0.3333333333333333
"('round', 'sundae')",3,6,0.5
"('round', 'pilaf')",0,6,0.0
"('red', 'vanilla')",2,6,0.3333333333333333
"('round', 'vinaigrette')",0,5,0.0
"('round', 'football')",0,5,0.0
"('red', 'ladybird')",0,5,0.0
"('red', 'gorilla')",0,5,0.0
"('roll', 'plunger')",2,5,0.4
"('red', 'herring')",3,5,0.6
"('round', 'planet')",0,5,0.0
"('red', 'banana')",0,5,0.0
"('red', 'carrot')",0,5,0.0
"('red', 'pignut')",2,5,0.4
"('red', 'cherry')",2,5,0.4
"('roll', 'hammer')",5,5,1.0
"('roll', 'hubcap')",2,5,0.4
"('red', 'football')",2,5,0.4
"('round', 'tart')",2,5,0.4
"('roll', 'candle')",0,5,0.0
"('roll', 'fusee')",2,5,0.4
"('roll', 'caber')",3,5,0.6
"('red', 'heart')",1,5,0.2
"('red', 'egg')",2,5,0.4
"('red', 'cake')",1,5,0.2
"('round', 'pomade')",1,5,0.2
"('red', 'cucurbit')",3,5,0.6
"('round', 'pasta')",2,5,0.4
"('red', 'fern')",1,5,0.2
"('round', 'atole')",0,5,0.0
"('red', 'honey')",2,5,0.4
"('round', 'butter')",1,5,0.2
"('red', 'sand')",1,5,0.2
"('red', 'mango')",2,5,0.4
"('roll', 'quoit')",1,5,0.2
"('roll', 'gearshift')",2,5,0.4
"('red', 'frog')",3,5,0.6
"('red', 'cinnamon')",1,5,0.2
"('red', 'chili')",2,5,0.4
"('roll', 'grip')",4,5,0.8
"('roll', 'shoe')",5,5,1.0
"('red', 'dogwood')",1,5,0.2
"('red', 'slug')",1,5,0.2
"('roll', 'windowpane')",2,5,0.4
"('roll', 'glass')",3,5,0.6
"('red', 'lipstick')",2,5,0.4
"('roll', 'pen')",0,5,0.0
"('red', 'peony')",2,5,0.4
"('round', 'box')",1,5,0.2
"('roll', 'tire')",2,5,0.4
"('roll', 'shaft')",1,5,0.2
"('red', 'artichoke')",2,5,0.4
"('roll', 'leather')",3,5,0.6
"('roll', 'wheelbarrow')",0,5,0.0
"('roll', 'windscreen')",1,5,0.2
"('red', 'rhino')",0,5,0.0
"('red', 'cabbage')",0,5,0.0
"('round', 'cheese')",2,5,0.4
"('red', 'barn')",0,5,0.0
"('red', 'custard')",2,5,0.4
"('red', 'guava')",0,5,0.0
"('red', 'dog')",1,5,0.2
"('round', 'almond')",2,5,0.4
"('red', 'cat')",0,5,0.0
"('round', 'breadcrumb')",0,5,0.0
"('red', 'balloon')",2,5,0.4
"('round', 'coconut')",3,5,0.6
"('roll', 'peg')",4,5,0.8
"('round', 'lolly')",2,5,0.4
"('round', 'tomato')",2,5,0.4
"('round', 'pecan')",3,5,0.6
"('round', 'orange')",2,5,0.4
"('red', 'vine')",1,5,0.2
"('red', 'potato')",1,5,0.2
"('roll', 'tyre')",1,5,0.2
"('red', 'squirrel')",1,5,0.2
"('red', 'ruby')",0,5,0.0
"('red', 'vinegar')",0,5,0.0
"('red', 'chameleon')",1,5,0.2
"('roll', 'cloth')",1,5,0.2
"('red', 'tiger')",1,5,0.2
"('round', 'scone')",2,5,0.4
"('roll', 'cylinder')",1,5,0.2
"('red', 'ginger')",2,5,0.4
"('red', 'echinocereus')",0,5,0.0
"('round', 'banana')",0,5,0.0
"('round', 'popcorn')",2,5,0.4
"('red', 'car')",1,5,0.2
"('red', 'pansy')",2,5,0.4
"('red', 'mangifera')",1,5,0.2
"('roll', 'paint')",2,5,0.4
"('roll', 'skateboard')",2,5,0.4
"('red', 'blackboard')",1,5,0.2
"('round', 'soursop')",2,5,0.4
"('red', 'rhubarb')",2,5,0.4
"('red', 'grapefruit')",2,5,0.4
"('roll', 'ball')",1,5,0.2
"('red', 'pomegranate')",1,5,0.2
"('red', 'jeep')",0,5,0.0
"('roll', 'breechblock')",1,5,0.2
"('round', 'quesadilla')",3,5,0.6
"('round', 'basketball')",0,5,0.0
"('round', 'biscuit')",0,5,0.0
"('red', 'tomato')",0,5,0.0
"('round', 'sausage')",0,5,0.0
"('roll', 'bucket')",4,5,0.8
"('round', 'potato')",2,5,0.4
"('round', 'sphere')",1,5,0.2
"('roll', 'barrel')",4,5,0.8
"('red', 'raspberry')",3,5,0.6
"('roll', 'manhole')",3,5,0.6
"('round', 'bracelet')",0,5,0.0
"('round', 'cheesecloth')",2,5,0.4
"('red', 'raisin')",2,5,0.4
"('red', 'onion')",2,5,0.4
"('round', 'baseball')",1,5,0.2
"('red', 'pineapple')",0,5,0.0
"('red', 'avocado')",0,5,0.0
"('roll', 'blade')",4,5,0.8
"('red', 'yogurt')",1,5,0.2
"('round', 'fruit')",2,5,0.4
"('red', 'pit')",1,5,0.2
"('round', 'casserole')",1,5,0.2
"('red', 'fruit')",1,5,0.2
"('roll', 'ski')",1,5,0.2
"('roll', 'bike')",1,5,0.2
"('roll', 'saw')",1,5,0.2
"('roll', 'sprocket')",2,5,0.4
"('round', 'button')",2,5,0.4
"('roll', 'rifling')",1,5,0.2
"('red', 'pepper')",1,5,0.2
"('red', 'shiitake')",1,5,0.2
"('red', 'cereal')",2,5,0.4
"('round', 'cherry')",4,5,0.8
"('roll', 'footrest')",0,5,0.0
"('round', 'cookie')",1,5,0.2
"('red', 'cilantro')",0,5,0.0
"('round', 'lemon')",0,5,0.0
"('round', 'candy')",2,5,0.4
"('red', 'coffee')",1,5,0.2
"('round', 'bread')",0,5,0.0
"('round', 'tortilla')",1,5,0.2
"('roll', 'bumper')",3,5,0.6
"('red', 'allspice')",0,5,0.0
"('roll', 'pig')",3,5,0.6
"('red', 'rhagoletis')",1,5,0.2
