unit,duration,input.concept,input.description,input.property,input.relation,job,output.answer,output.answer.annotations,output.answer.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,unit_annotation_score_true,unit_annotation_score_false
d4d82886-12a0-11ea-b098-acde48001122,26734.8,pit,Being red is typical of (a/an) pit. ,red,typical_of_concept,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 1})",5,2,5,0.5953658040432113,"Counter({'false': 0.7970333769593206, 'true': 0.20296662304067936})",0.6,"Counter({'false': 0.8, 'true': 0.2})",0.20296662304067936,0.7970333769593206
d4d829d0-12a0-11ea-b098-acde48001122,40447.4,pit,Being red applies to pit and other such things.,red,implied_category,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.40444893390685516,"Counter({'false': 0.6090901282768727, 'true': 0.3909098717231274})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.3909098717231274,0.6090901282768727
d4d82b06-12a0-11ea-b098-acde48001122,54232.2,pit,A certain type of pit is red and other types are not. ,red,variability_subcategories,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.4006623000141984,"Counter({'false': 0.6019162215029462, 'true': 0.3980837784970538})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.3980837784970538,0.6019162215029462
d4d82c3c-12a0-11ea-b098-acde48001122,54204.0,pit,(A/An) pit can be either red or a limited range of other options like red. ,red,variability_limited,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.39356657102772974,"Counter({'false': 0.5868928471447149, 'true': 0.4131071528552851})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.4131071528552851,0.5868928471447149
d4d82d72-12a0-11ea-b098-acde48001122,58496.8,pit,(A/An) pit can be either red or a wide range of other options like red. ,red,variability_open,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 4, 'false': 1})",5,2,5,0.5877472765071247,"Counter({'true': 0.791862273234487, 'false': 0.2081377267655129})",0.6,"Counter({'true': 0.8, 'false': 0.2})",0.791862273234487,0.2081377267655129
d4d82ea8-12a0-11ea-b098-acde48001122,40525.4,pit,"In an unusual situation, (a/an) pit could be red. ",red,unusual,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 3, 'false': 2})",5,2,5,0.40290331935853546,"Counter({'true': 0.6062215052625666, 'false': 0.3937784947374334})",0.4,"Counter({'true': 0.6, 'false': 0.4})",0.6062215052625666,0.3937784947374334
d4d82fd4-12a0-11ea-b098-acde48001122,54447.0,pit,"""(A/An) pit is red” could be said figuratively or creatively. ",red,creative,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 1})",5,2,5,0.6137967702587581,"Counter({'false': 0.809188128303246, 'true': 0.190811871696754})",0.6,"Counter({'false': 0.8, 'true': 0.2})",0.190811871696754,0.809188128303246
d4d83204-12a0-11ea-b098-acde48001122,54420.8,pit,(A/An) pit cannot be red.,red,impossible,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 1})",5,2,5,0.5877472765071247,"Counter({'false': 0.7918622732344871, 'true': 0.20813772676551293})",0.6,"Counter({'false': 0.8, 'true': 0.2})",0.20813772676551293,0.7918622732344871
d4d890b4-12a0-11ea-b098-acde48001122,43465.4,lark,(A/An) lark is a typical example of things which are  red. ,red,typical_of_property,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 0})",5,1,5,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})",0.0,1.0
d4d892d0-12a0-11ea-b098-acde48001122,71169.2,lark,Being red is necessary for things (a/an) lark usually does or for things we usually do with (a/an) lark. ,red,affording_activity,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 0})",5,1,5,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})",0.0,1.0
d4d89474-12a0-11ea-b098-acde48001122,50456.4,lark,Being red is typical of (a/an) lark. ,red,typical_of_concept,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 0})",5,1,5,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})",0.0,1.0
d4d895dc-12a0-11ea-b098-acde48001122,32345.4,lark,Being red applies to lark and other such things.,red,implied_category,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 0})",5,1,5,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})",0.0,1.0
d4d89730-12a0-11ea-b098-acde48001122,40967.4,lark,A certain type of lark is red and other types are not. ,red,variability_subcategories,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 1})",5,2,5,0.6313522786369449,"Counter({'false': 0.8204399627836365, 'true': 0.17956003721636352})",0.6,"Counter({'false': 0.8, 'true': 0.2})",0.17956003721636352,0.8204399627836365
d4d89884-12a0-11ea-b098-acde48001122,69436.4,lark,(A/An) lark can be either red or a limited range of other options like red. ,red,variability_limited,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 0})",5,1,5,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})",0.0,1.0
d4d899d8-12a0-11ea-b098-acde48001122,43611.4,lark,(A/An) lark can be either red or a wide range of other options like red. ,red,variability_open,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 1})",5,2,5,0.5839803320018572,"Counter({'false': 0.7894025407369015, 'true': 0.2105974592630985})",0.6,"Counter({'false': 0.8, 'true': 0.2})",0.2105974592630985,0.7894025407369015
d4d89b0e-12a0-11ea-b098-acde48001122,58014.8,lark,"In an unusual situation, (a/an) lark could be red. ",red,unusual,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 1})",5,2,5,0.6093985342409026,"Counter({'false': 0.806449428001619, 'true': 0.19355057199838105})",0.6,"Counter({'false': 0.8, 'true': 0.2})",0.19355057199838105,0.806449428001619
d4d89c4e-12a0-11ea-b098-acde48001122,55591.0,lark,"""(A/An) lark is red” could be said figuratively or creatively. ",red,creative,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 1})",5,2,5,0.6093985342409027,"Counter({'false': 0.806449428001619, 'true': 0.19355057199838105})",0.6,"Counter({'false': 0.8, 'true': 0.2})",0.19355057199838105,0.806449428001619
d4d89f0a-12a0-11ea-b098-acde48001122,29319.6,lark,(A/An) lark cannot be red.,red,impossible,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 3, 'false': 2})",5,2,5,0.41468670323261336,"Counter({'true': 0.6268893907852554, 'false': 0.37311060921474454})",0.4,"Counter({'true': 0.6, 'false': 0.4})",0.6268893907852554,0.37311060921474454
d4d907ce-12a0-11ea-b098-acde48001122,71499.4,miner,(A/An) miner is a typical example of things which are  red. ,red,typical_of_property,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 0})",5,1,5,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})",0.0,1.0
d4d909e0-12a0-11ea-b098-acde48001122,63232.0,miner,Being red is necessary for things (a/an) miner usually does or for things we usually do with (a/an) miner. ,red,affording_activity,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 1})",5,2,5,0.5832198246255808,"Counter({'false': 0.7895040367181116, 'true': 0.21049596328188833})",0.6,"Counter({'false': 0.8, 'true': 0.2})",0.21049596328188833,0.7895040367181116
d4d90b7a-12a0-11ea-b098-acde48001122,84304.6,miner,Being red is typical of (a/an) miner. ,red,typical_of_concept,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 0})",5,1,5,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})",0.0,1.0
d4d90cce-12a0-11ea-b098-acde48001122,59047.6,miner,Being red applies to miner and other such things.,red,implied_category,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 1})",5,2,5,0.6538539155417169,"Counter({'false': 0.8346385770693875, 'true': 0.16536142293061248})",0.6,"Counter({'false': 0.8, 'true': 0.2})",0.16536142293061248,0.8346385770693875
d4d90e7c-12a0-11ea-b098-acde48001122,67299.2,miner,A certain type of miner is red and other types are not. ,red,variability_subcategories,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.41167128938538566,"Counter({'false': 0.6241426137874991, 'true': 0.37585738621250075})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.37585738621250075,0.6241426137874991
d4d90ff8-12a0-11ea-b098-acde48001122,67451.6,miner,(A/An) miner can be either red or a limited range of other options like red. ,red,variability_limited,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.41167128938538566,"Counter({'false': 0.6241426137874991, 'true': 0.37585738621250075})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.37585738621250075,0.6241426137874991
d4d91138-12a0-11ea-b098-acde48001122,84686.4,miner,(A/An) miner can be either red or a wide range of other options like red. ,red,variability_open,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.4030352035157218,"Counter({'false': 0.6094027591115084, 'true': 0.3905972408884916})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.3905972408884916,0.6094027591115084
d4d91282-12a0-11ea-b098-acde48001122,63020.8,miner,"In an unusual situation, (a/an) miner could be red. ",red,unusual,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 4, 'false': 1})",5,2,5,0.6538539155417169,"Counter({'true': 0.8346385770693876, 'false': 0.16536142293061248})",0.6,"Counter({'true': 0.8, 'false': 0.2})",0.8346385770693876,0.16536142293061248
d4d91368-12a0-11ea-b098-acde48001122,58857.2,miner,"""(A/An) miner is red” could be said figuratively or creatively. ",red,creative,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 4, 'false': 1})",5,2,5,0.6538539155417169,"Counter({'true': 0.8346385770693875, 'false': 0.16536142293061248})",0.6,"Counter({'true': 0.8, 'false': 0.2})",0.8346385770693875,0.16536142293061248
d4d91584-12a0-11ea-b098-acde48001122,67255.4,miner,(A/An) miner cannot be red.,red,impossible,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.3864461273677624,"Counter({'false': 0.5731517643182934, 'true': 0.4268482356817066})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.4268482356817066,0.5731517643182934
d4d9328a-12a0-11ea-b098-acde48001122,24372.8,broccoli,"In an unusual situation, (a/an) broccoli could be red. ",red,unusual,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 4, 'false': 1})",5,2,5,0.5758075602940549,"Counter({'true': 0.7840768157848914, 'false': 0.21592318421510853})",0.6,"Counter({'true': 0.8, 'false': 0.2})",0.7840768157848914,0.21592318421510853
d4d933b6-12a0-11ea-b098-acde48001122,51871.4,broccoli,"""(A/An) broccoli is red” could be said figuratively or creatively. ",red,creative,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.42053317411173574,"Counter({'false': 0.636843174189636, 'true': 0.36315682581036407})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.36315682581036407,0.636843174189636
d4d93550-12a0-11ea-b098-acde48001122,42182.6,broccoli,(A/An) broccoli cannot be red.,red,impossible,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 3, 'false': 2})",5,2,5,0.42053317411173574,"Counter({'true': 0.636843174189636, 'false': 0.36315682581036407})",0.4,"Counter({'true': 0.6, 'false': 0.4})",0.636843174189636,0.36315682581036407
d4da1664-12a0-11ea-b098-acde48001122,22074.8,artichoke,(A/An) artichoke is a typical example of things which are  red. ,red,typical_of_property,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 0})",5,1,5,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})",0.0,1.0
d4da17d6-12a0-11ea-b098-acde48001122,25366.0,artichoke,Being red is necessary for things (a/an) artichoke usually does or for things we usually do with (a/an) artichoke. ,red,affording_activity,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.40581338163103664,"Counter({'false': 0.6130905984246018, 'true': 0.38690940157539827})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.38690940157539827,0.6130905984246018
d4da18d0-12a0-11ea-b098-acde48001122,23007.4,artichoke,Being red is typical of (a/an) artichoke. ,red,typical_of_concept,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 0})",5,1,5,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})",0.0,1.0
d4da1998-12a0-11ea-b098-acde48001122,24750.333333333332,artichoke,Being red applies to artichoke and other such things.,red,implied_category,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 1})",6,2,6,0.6379872561452348,"Counter({'false': 0.8247689162490826, 'true': 0.1752310837509174})",0.6,"Counter({'false': 0.8, 'true': 0.2})",0.1752310837509174,0.8247689162490826
d4da1af6-12a0-11ea-b098-acde48001122,15893.2,artichoke,A certain type of artichoke is red and other types are not. ,red,variability_subcategories,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 3, 'false': 2})",5,2,5,0.38919805199380647,"Counter({'true': 0.5784726127380326, 'false': 0.4215273872619673})",0.4,"Counter({'true': 0.6, 'false': 0.4})",0.5784726127380326,0.4215273872619673
d4da1cfe-12a0-11ea-b098-acde48001122,21415.4,artichoke,(A/An) artichoke can be either red or a limited range of other options like red. ,red,variability_limited,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.42430807589491426,"Counter({'false': 0.6420298996480402, 'true': 0.3579701003519597})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.3579701003519597,0.6420298996480402
d4da1df8-12a0-11ea-b098-acde48001122,15118.4,artichoke,(A/An) artichoke can be either red or a wide range of other options like red. ,red,variability_open,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 1})",5,2,5,0.6379872561452349,"Counter({'false': 0.8247689162490827, 'true': 0.17523108375091742})",0.6,"Counter({'false': 0.8, 'true': 0.2})",0.17523108375091742,0.8247689162490827
d4da1efc-12a0-11ea-b098-acde48001122,24029.4,artichoke,"In an unusual situation, (a/an) artichoke could be red. ",red,unusual,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 3, 'false': 2})",5,2,5,0.40169768651288246,"Counter({'true': 0.6055826655744769, 'false': 0.3944173344255232})",0.4,"Counter({'true': 0.6, 'false': 0.4})",0.6055826655744769,0.3944173344255232
d4da203c-12a0-11ea-b098-acde48001122,22251.8,artichoke,"""(A/An) artichoke is red” could be said figuratively or creatively. ",red,creative,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.38529502641935093,"Counter({'false': 0.5678191697894464, 'true': 0.4321808302105538})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.4321808302105538,0.5678191697894464
d4da2258-12a0-11ea-b098-acde48001122,20740.6,artichoke,(A/An) artichoke cannot be red.,red,impossible,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 4, 'false': 1})",5,2,5,0.6379872561452349,"Counter({'true': 0.8247689162490827, 'false': 0.17523108375091742})",0.6,"Counter({'true': 0.8, 'false': 0.2})",0.8247689162490827,0.17523108375091742
d4da7de8-12a0-11ea-b098-acde48001122,42456.833333333336,aubergine,(A/An) aubergine is a typical example of things which are  red. ,red,typical_of_property,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 6, 'true': 0})",6,1,6,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})",0.0,1.0
d4da8072-12a0-11ea-b098-acde48001122,55623.166666666664,aubergine,Being red is necessary for things (a/an) aubergine usually does or for things we usually do with (a/an) aubergine. ,red,affording_activity,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 1})",6,2,6,0.7076793813469587,"Counter({'false': 0.8582508552768682, 'true': 0.14174914472313174})",0.6666666666666666,"Counter({'false': 0.8333333333333334, 'true': 0.16666666666666666})",0.14174914472313174,0.8582508552768682
d4da8202-12a0-11ea-b098-acde48001122,46082.5,aubergine,Being red is typical of (a/an) aubergine. ,red,typical_of_concept,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 1})",6,2,6,0.6760643806589183,"Counter({'false': 0.8393912629676114, 'true': 0.16060873703238865})",0.6666666666666666,"Counter({'false': 0.8333333333333334, 'true': 0.16666666666666666})",0.16060873703238865,0.8393912629676114
d4da8360-12a0-11ea-b098-acde48001122,44378.5,aubergine,Being red applies to aubergine and other such things.,red,implied_category,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 2})",6,2,6,0.4690804214119334,"Counter({'false': 0.6704278008240004, 'true': 0.3295721991759996})",0.4666666666666667,"Counter({'false': 0.6666666666666666, 'true': 0.3333333333333333})",0.3295721991759996,0.6704278008240004
d4da84a0-12a0-11ea-b098-acde48001122,45052.5,aubergine,A certain type of aubergine is red and other types are not. ,red,variability_subcategories,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 2})",6,2,6,0.4931497643005995,"Counter({'false': 0.6976421182444796, 'true': 0.3023578817555204})",0.4666666666666667,"Counter({'false': 0.6666666666666666, 'true': 0.3333333333333333})",0.3023578817555204,0.6976421182444796
d4da85ea-12a0-11ea-b098-acde48001122,64974.5,aubergine,(A/An) aubergine can be either red or a limited range of other options like red. ,red,variability_limited,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 3})",6,2,6,0.40030018513520327,"Counter({'false': 0.5205371954326757, 'true': 0.47946280456732426})",0.4,"Counter({'false': 0.5, 'true': 0.5})",0.47946280456732426,0.5205371954326757
d4da8720-12a0-11ea-b098-acde48001122,45416.666666666664,aubergine,(A/An) aubergine can be either red or a wide range of other options like red. ,red,variability_open,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 2})",6,2,6,0.47813341347913185,"Counter({'false': 0.6811459324650643, 'true': 0.31885406753493567})",0.4666666666666667,"Counter({'false': 0.6666666666666666, 'true': 0.3333333333333333})",0.31885406753493567,0.6811459324650643
d4da884c-12a0-11ea-b098-acde48001122,42407.5,aubergine,"In an unusual situation, (a/an) aubergine could be red. ",red,unusual,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 4, 'false': 2})",6,2,6,0.49314976430059954,"Counter({'true': 0.6976421182444795, 'false': 0.30235788175552036})",0.4666666666666667,"Counter({'true': 0.6666666666666666, 'false': 0.3333333333333333})",0.6976421182444795,0.30235788175552036
d4da8978-12a0-11ea-b098-acde48001122,43984.833333333336,aubergine,"""(A/An) aubergine is red” could be said figuratively or creatively. ",red,creative,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 1})",6,2,6,0.7076793813469587,"Counter({'false': 0.8582508552768682, 'true': 0.14174914472313174})",0.6666666666666666,"Counter({'false': 0.8333333333333334, 'true': 0.16666666666666666})",0.14174914472313174,0.8582508552768682
d4da8c0c-12a0-11ea-b098-acde48001122,43753.666666666664,aubergine,(A/An) aubergine cannot be red.,red,impossible,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 2})",6,2,6,0.4610428513055478,"Counter({'false': 0.6603164795182095, 'true': 0.3396835204817904})",0.4666666666666667,"Counter({'false': 0.6666666666666666, 'true': 0.3333333333333333})",0.3396835204817904,0.6603164795182095
d4dae5c6-12a0-11ea-b098-acde48001122,60284.4,dog,(A/An) dog is a typical example of things which are  red. ,red,typical_of_property,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 0})",5,1,5,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})",0.0,1.0
d4dae8d2-12a0-11ea-b098-acde48001122,55743.8,dog,Being red is necessary for things (a/an) dog usually does or for things we usually do with (a/an) dog. ,red,affording_activity,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 4, 'true': 1})",5,2,5,0.6567068289770205,"Counter({'false': 0.8361732055877366, 'true': 0.16382679441226344})",0.6,"Counter({'false': 0.8, 'true': 0.2})",0.16382679441226344,0.8361732055877366
