triple,worker,answer
affording_activity-yellow-pineapple I know that being yellow is necessary for many things (a/an) pineapple does or is used for. ,piek,false
variability_open-yellow-pineapple You can find (a/an) pineapple which is yellow. Yellow is one of many possible colors (a/an) pineapple usually has. The range of colors is almost unlimited. ,antske,false
variability_open-yellow-pineapple You can find (a/an) pineapple which is yellow. Yellow is one of many possible colors (a/an) pineapple usually has. The range of colors is almost unlimited. ,pia_run1,false
variability_open-yellow-pineapple You can find (a/an) pineapple which is yellow. Yellow is one of many possible colors (a/an) pineapple usually has. The range of colors is almost unlimited. ,piek,false
"creative-red-carrot I could say (a/an) carrot is red, but I would most certainly not mean it literally.",antske,false
"creative-red-carrot I could say (a/an) carrot is red, but I would most certainly not mean it literally.",pia_run1,false
"creative-red-carrot I could say (a/an) carrot is red, but I would most certainly not mean it literally.",piek,false
impossible-red-carrot I think it is impossible for (a/an) carrot to be red.,antske,false
impossible-red-carrot I think it is impossible for (a/an) carrot to be red.,pia_run1,false
impossible-red-carrot I think it is impossible for (a/an) carrot to be red.,piek,false
implied_category-red-wine I know that (a/an) wine is red as most or all other things similar to (a/an) wine are red. ,antske,false
implied_category-red-wine I know that (a/an) wine is red as most or all other things similar to (a/an) wine are red. ,pia_run1,false
implied_category-red-wine I know that (a/an) wine is red as most or all other things similar to (a/an) wine are red. ,piek,false
typical_of_concept-red-wine ``Red'' is one for the first things which come to mind when I hear ``wine' because red is one of the typical colors of (a/an) wine'.,antske,true
typical_of_concept-red-wine ``Red'' is one for the first things which come to mind when I hear ``wine' because red is one of the typical colors of (a/an) wine'.,pia_run1,true
typical_of_concept-red-wine ``Red'' is one for the first things which come to mind when I hear ``wine' because red is one of the typical colors of (a/an) wine'.,piek,true
variability_limited-red-wine You can find (a/an) wine which is red. Red is one of a few possible colors (a/an) wine usually has. There is only a limited range of possible colors.,antske,true
variability_limited-red-wine You can find (a/an) wine which is red. Red is one of a few possible colors (a/an) wine usually has. There is only a limited range of possible colors.,pia_run1,true
variability_limited-red-wine You can find (a/an) wine which is red. Red is one of a few possible colors (a/an) wine usually has. There is only a limited range of possible colors.,piek,true
variability_open-red-wine You can find (a/an) wine which is red. Red is one of many possible colors (a/an) wine usually has. The range of colors is almost unlimited. ,antske,false
variability_open-red-wine You can find (a/an) wine which is red. Red is one of many possible colors (a/an) wine usually has. The range of colors is almost unlimited. ,pia_run1,false
variability_open-red-wine You can find (a/an) wine which is red. Red is one of many possible colors (a/an) wine usually has. The range of colors is almost unlimited. ,piek,false
"creative-red-wine I could say (a/an) wine is red, but I would most certainly not mean it literally.",antske,false
"creative-red-wine I could say (a/an) wine is red, but I would most certainly not mean it literally.",pia_run1,false
"creative-red-wine I could say (a/an) wine is red, but I would most certainly not mean it literally.",piek,false
"rare-red-wine I think (a/an) wine can be red, but this is rare or uncommon.",antske,false
"rare-red-wine I think (a/an) wine can be red, but this is rare or uncommon.",pia_run1,false
"rare-red-wine I think (a/an) wine can be red, but this is rare or uncommon.",piek,false
"unusual-red-wine Usually, (a/an) wine is not red, but there could be a highly unusual situation in which (a/an) wine is red.",antske,false
"unusual-red-wine Usually, (a/an) wine is not red, but there could be a highly unusual situation in which (a/an) wine is red.",pia_run1,false
"unusual-red-wine Usually, (a/an) wine is not red, but there could be a highly unusual situation in which (a/an) wine is red.",piek,false
impossible-red-wine I think it is impossible for (a/an) wine to be red.,antske,false
impossible-red-wine I think it is impossible for (a/an) wine to be red.,pia_run1,false
impossible-red-wine I think it is impossible for (a/an) wine to be red.,piek,false
