,contradiction,label_proportion,majority_labels,majority_levels,pair,top_labels,top_levels
86,False,1.0,rare-variability_open,few-some,black-ring,rare-variability_open,few-some
87,False,0.8571428571428571,affording_activity-implied_category-typical_of_concept-variability_limited,all-some,made_of_wood-gunwale,implied_category-typical_of_concept,all
88,False,0.8571428571428571,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,dangerous-conspirator,implied_category-typical_of_concept,all
89,False,0.6666666666666666,rare-unusual,few,dangerous-unction,unusual,few
90,False,0.7777777777777778,affording_activity-implied_category-variability_limited,all-some,wheels-railcar,affording_activity-implied_category,all
91,False,1.0,rare-unusual,few,dangerous-plane,rare,few
92,False,1.0,rare-unusual,few,dangerous-opener,rare,few
93,False,0.5555555555555556,affording_activity,all,wheels-rig,affording_activity,all
94,False,0.7777777777777778,rare-unusual-variability_limited-variability_open,few-some,wheels-stage,rare-unusual,few
95,False,1.0,rare-unusual,few,dangerous-bar,unusual,few
96,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,dangerous-weapon,affording_activity-typical_of_concept-typical_of_property,all
97,False,0.6666666666666666,rare-variability_limited,few-some,made_of_wood-truss,variability_limited,some
98,True,0.3333333333333333,,,fly-lynx,creative-implied_category-impossible-typical_of_concept-variability_limited,all-creative-few-some
99,False,0.5555555555555556,rare-unusual,few,yellow-lavandula,rare-unusual,few
100,False,0.5555555555555556,affording_activity-typical_of_concept-variability_limited,all-some,square-diskette,affording_activity-typical_of_concept-variability_limited,all-some
101,False,0.6666666666666666,impossible-rare-unusual,few,black-butter,impossible,few
102,False,1.0,affording_activity-implied_category,all,wheels-dumper,affording_activity,all
103,False,1.0,affording_activity-typical_of_concept-variability_open,all-some,hot-water,variability_open,some
104,False,0.875,impossible,few,lay_eggs-hare,impossible,few
105,False,0.625,unusual,few,yellow-kingfisher,unusual,few
106,False,0.625,unusual,few,sweet-lentil,unusual,few
107,False,0.875,rare-unusual,few,black-ladybird,rare,few
108,False,1.0,affording_activity-implied_category-typical_of_concept,all,wheels-pedicab,affording_activity,all
109,False,0.75,afforded_unusual-afforded_usual-implied_category,all,fly-duck,afforded_usual-implied_category,all
110,False,0.625,impossible,few,dangerous-bill,impossible,few
111,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,hot-kettle,variability_open,some
112,False,0.7142857142857143,affording_activity-variability_limited,all-some,sweet-hazelnut,variability_limited,some
113,False,0.8571428571428571,creative-rare-unusual-variability_open,creative-few-some,hot-candy,unusual,few
114,False,0.8571428571428571,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited,all-some,made_of_wood-timber,affording_activity,all
115,False,1.0,affording_activity-implied_category-typical_of_concept-variability_limited,all-some,wheels-carriage,affording_activity-implied_category,all
116,False,0.8571428571428571,impossible,few,lay_eggs-eland,impossible,few
117,False,0.5714285714285714,rare-unusual,few,yellow-vanilla,rare-unusual,few
118,False,0.7142857142857143,unusual-variability_limited,few-some,black-pipefish,variability_limited,some
119,False,1.0,afforded_usual-implied_category-typical_of_concept-typical_of_property-variability_limited,all-some,fly-nuthatch,afforded_usual,all
120,False,0.8888888888888888,affording_activity-implied_category-typical_of_concept-variability_limited,all-some,sweet-lemonade,variability_limited,some
121,False,0.7777777777777778,rare-unusual,few,yellow-allspice,unusual,few
122,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,wheels-bike,affording_activity-implied_category-typical_of_concept-typical_of_property,all
123,False,0.7777777777777778,rare-unusual-variability_limited,few-some,black-cherry,variability_limited,some
124,False,0.7777777777777778,afforded_usual-implied_category-typical_of_concept,all,fly-bomber,afforded_usual-implied_category-typical_of_concept,all
125,False,0.7777777777777778,implied_category-typical_of_concept-variability_limited,all-some,square-locker,implied_category-variability_limited,all-some
126,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,hot-shower,affording_activity-typical_of_concept-variability_open,all-some
127,False,0.7777777777777778,impossible,few,lay_eggs-whiff,impossible,few
128,False,1.0,rare-unusual,few,hot-pomade,unusual,few
129,False,1.0,afforded_usual-implied_category-typical_of_concept-typical_of_property,all,fly-paridae,afforded_usual,all
130,False,1.0,afforded_usual-implied_category-typical_of_concept,all,lay_eggs-curlew,afforded_usual-implied_category,all
131,False,0.75,unusual-variability_limited,few-some,made_of_wood-bagpipe,unusual,few
132,False,1.0,creative-impossible,creative-few,square-sphere,impossible,few
133,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited-variability_open,all-some,dangerous-scimitar,affording_activity-implied_category-typical_of_concept,all
134,False,0.0,,,yellow-honey,creative-impossible-rare-unusual,creative-few
135,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited-variability_open,all-some,sweet-chocolate,affording_activity-typical_of_concept-typical_of_property,all
136,False,0.7777777777777778,rare-unusual-variability_limited,few-some,black-rice,rare,few
137,False,0.7777777777777778,implied_category-typical_of_concept,all,dangerous-hippopotamus,typical_of_concept,all
138,False,0.3333333333333333,,,yellow-pepper,rare,few
139,False,1.0,impossible,few,fly-sunfish,impossible,few
140,False,0.8888888888888888,typical_of_concept-variability_limited,all-some,made_of_wood-plunger,variability_limited,some
141,False,1.0,affording_activity-implied_category-typical_of_concept,all,wheels-hearse,affording_activity,all
142,False,1.0,impossible,few,lay_eggs-bushbaby,impossible,few
143,False,0.6666666666666666,impossible,few,square-subdirectory,impossible,few
144,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,dangerous-venom,typical_of_concept-typical_of_property,all
145,False,0.8888888888888888,implied_category-typical_of_concept-typical_of_property-variability_limited,all-some,yellow-giraffe,typical_of_concept-typical_of_property,all
146,False,0.6666666666666666,afforded_usual-implied_category-typical_of_concept,all,lay_eggs-halibut,afforded_usual,all
147,False,0.7777777777777778,impossible-unusual,few,sweet-spike,impossible,few
148,False,1.0,afforded_usual-implied_category-typical_of_concept-typical_of_property,all,fly-skylark,afforded_usual-implied_category-typical_of_concept,all
149,False,1.0,rare-unusual-variability_open,few-some,black-parrot,rare,few
150,False,0.7777777777777778,variability_limited-variability_open,some,made_of_wood-shaft,variability_limited,some
151,False,0.8888888888888888,typical_of_concept-variability_limited-variability_open,all-some,square-rack,variability_limited,some
152,False,1.0,typical_of_concept-typical_of_property-variability_open,all-some,black-suit,variability_open,some
153,False,0.375,,,sweet-windfall,impossible,few
154,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,wheels-ambulance,affording_activity,all
155,False,0.75,implied_category-typical_of_concept-variability_limited,all-some,square-bedroom,typical_of_concept-variability_limited,all-some
156,False,0.875,afforded_usual-implied_category-typical_of_concept,all,lay_eggs-albatross,afforded_usual,all
157,False,1.0,typical_of_concept-variability_limited,all-some,made_of_wood-kayak,variability_limited,some
158,False,0.75,typical_of_concept-variability_open,all-some,hot-pot,variability_open,some
159,False,0.875,variability_limited,some,made_of_wood-axe,variability_limited,some
160,False,0.625,impossible-rare,few,black-mentzelia,impossible-rare,few
161,False,1.0,afforded_usual-implied_category-typical_of_concept,all,fly-phalacrocorax,implied_category,all
162,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited-variability_open,all-some,dangerous-reduviidae,typical_of_concept,all
163,False,0.75,impossible-unusual,few,square-cds,impossible,few
164,False,0.875,affording_activity-implied_category-typical_of_concept-variability_limited-variability_open,all-some,sweet-sultana,affording_activity-implied_category-typical_of_concept-variability_limited,all-some
165,False,0.875,affording_activity-implied_category-typical_of_concept,all,hot-kerosene,affording_activity-typical_of_concept,all
166,False,1.0,affording_activity-implied_category-typical_of_concept-variability_open,all-some,wheels-motorbus,affording_activity,all
167,False,0.875,rare-unusual,few,yellow-tomato,rare,few
168,False,1.0,afforded_usual-implied_category-typical_of_concept,all,fly-robin,afforded_usual,all
169,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,hot-wok,affording_activity-implied_category,all
170,False,0.75,variability_limited-variability_open,some,black-dog,variability_limited-variability_open,some
171,False,0.875,affording_activity-implied_category-typical_of_concept-variability_limited,all-some,sweet-plum,implied_category,all
172,False,0.625,creative-impossible,creative-few,lay_eggs-howler,creative-impossible,creative-few
173,False,0.625,variability_open,some,square-dining,variability_open,some
174,False,0.8888888888888888,afforded_usual-implied_category-typical_of_concept,all,lay_eggs-avocet,afforded_usual-implied_category,all
175,False,0.7777777777777778,implied_category-typical_of_concept-variability_limited-variability_open,all-some,square-notebook,variability_open,some
176,False,0.7777777777777778,afforded_usual-implied_category-typical_of_concept,all,fly-moorcock,implied_category,all
177,False,0.6666666666666666,variability_limited,some,black-miner,variability_limited,some
178,False,0.6666666666666666,impossible-unusual,few,yellow-herring,unusual,few
179,False,0.7777777777777778,affording_activity-typical_of_concept-variability_open,all-some,hot-kitchen,variability_open,some
180,False,0.7777777777777778,rare-unusual-variability_limited,few-some,made_of_wood-aerator,unusual-variability_limited,few-some
181,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,dangerous-pistol,affording_activity-typical_of_concept-typical_of_property,all
182,False,0.875,creative,creative,wheels-driver,creative,creative
183,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited,all-some,made_of_wood-oak,affording_activity-typical_of_concept,all
184,False,0.75,creative-unusual,creative-few,sweet-chicken,creative,creative
185,False,0.875,creative-impossible,creative-few,fly-rudd,impossible,few
186,False,1.0,afforded_usual-implied_category-typical_of_concept-typical_of_property-variability_limited,all-some,lay_eggs-chicken,afforded_usual-implied_category-typical_of_concept-typical_of_property,all
187,False,0.875,creative-rare-unusual-variability_limited,creative-few-some,square-tape,unusual,few
188,False,1.0,creative-rare-unusual-variability_open,creative-few-some,hot-vinaigrette,unusual,few
189,False,0.9,rare-unusual-variability_limited-variability_open,few-some,black-paridae,variability_open,some
190,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,dangerous-gun,typical_of_concept-typical_of_property,all
191,False,0.8571428571428571,variability_limited,some,square-lavatory,variability_limited,some
192,False,0.8571428571428571,rare-unusual-variability_limited,few-some,sweet-spud,variability_limited,some
193,False,0.6666666666666666,afforded_usual-implied_category,all,lay_eggs-pleuronectidae,implied_category,all
194,False,0.7142857142857143,creative-rare-unusual-variability_open,creative-few-some,black-nightmare,variability_open,some
195,False,0.5714285714285714,variability_open,some,yellow-sandpaper,variability_open,some
196,False,0.8571428571428571,rare-unusual,few,hot-cooler,unusual,few
197,False,1.0,impossible,few,made_of_wood-date,impossible,few
198,False,0.5714285714285714,implied_category-variability_limited,all-some,fly-fowl,implied_category-variability_limited,all-some
199,False,1.0,afforded_usual-implied_category,all,lay_eggs-turtle,afforded_usual-implied_category,all
200,False,1.0,rare-unusual-variability_open,few-some,black-glass,variability_open,some
201,False,0.875,impossible,few,fly-saloon,impossible,few
202,False,0.75,implied_category-variability_limited,all-some,made_of_wood-transom,variability_limited,some
203,False,0.5,,,sweet-buckeye,creative-rare,creative-few
204,False,0.75,implied_category-variability_limited-variability_open,all-some,square-workroom,variability_open,some
205,False,0.0,,,yellow-fruit,creative-impossible-rare-unusual,creative-few
206,False,0.75,unusual,few,dangerous-clipper,unusual,few
207,False,0.7777777777777778,afforded_usual-implied_category-typical_of_concept,all,fly-chinook,implied_category-typical_of_concept,all
208,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited-variability_open,all-some,hot-grill,affording_activity,all
209,False,0.8888888888888888,afforded_usual-implied_category-typical_of_concept-typical_of_property-variability_limited,all-some,lay_eggs-calidris,afforded_usual,all
210,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited,all-some,made_of_wood-lath,typical_of_concept,all
211,False,0.8888888888888888,rare-unusual,few,yellow-actinidia,unusual,few
212,False,0.6666666666666666,variability_limited-variability_open,some,sweet-vegetable,variability_limited-variability_open,some
213,False,0.7777777777777778,rare-variability_limited-variability_open,few-some,black-lizard,variability_limited,some
214,False,0.8888888888888888,implied_category-typical_of_concept-typical_of_property-variability_limited-variability_open,all-some,dangerous-looter,typical_of_concept,all
215,False,0.8888888888888888,creative-impossible,creative-few,fly-mola,creative,creative
216,False,1.0,implied_category-typical_of_concept-typical_of_property-variability_limited-variability_open,all-some,yellow-cheese,typical_of_concept,all
217,False,0.6666666666666666,creative-rare-unusual,creative-few,hot-utensil,rare,few
218,False,0.7777777777777778,rare-unusual-variability_limited-variability_open,few-some,dangerous-nitrazepam,variability_open,some
219,False,0.6666666666666666,variability_limited-variability_open,some,square-dresser,variability_open,some
220,False,1.0,afforded_usual-implied_category-typical_of_concept-typical_of_property,all,lay_eggs-duck,afforded_usual-implied_category,all
221,False,0.8888888888888888,rare-unusual-variability_limited,few-some,black-lobster,rare,few
222,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,wheels-cart,affording_activity-implied_category-typical_of_concept-typical_of_property,all
223,False,1.0,afforded_usual-implied_category-typical_of_concept-typical_of_property,all,fly-nightingale,afforded_usual-implied_category,all
224,False,0.625,variability_limited,some,made_of_wood-beam,variability_limited,some
225,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,wheels-van,affording_activity,all
226,False,0.875,typical_of_concept-variability_limited,all-some,black-monkey,variability_limited,some
227,False,0.875,creative-rare-unusual-variability_limited-variability_open,creative-few-some,sweet-cabbage,unusual,few
228,False,0.875,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,dangerous-gang,affording_activity-implied_category-variability_open,all-some
229,False,0.75,creative-impossible,creative-few,lay_eggs-bull,impossible,few
230,False,0.625,creative-unusual,creative-few,sweet-ginger,creative-unusual,creative-few
231,False,0.875,typical_of_concept-variability_limited,all-some,black-skunk,variability_limited,some
232,False,0.875,typical_of_concept-typical_of_property-variability_limited-variability_open,all-some,dangerous-attack,typical_of_concept,all
233,False,0.875,afforded_usual-implied_category-typical_of_concept,all,fly-pelican,implied_category,all
234,False,0.625,rare-unusual,few,hot-garlic,rare-unusual,few
235,False,0.875,affording_activity-variability_limited-variability_open,all-some,square-drawer,variability_limited,some
236,False,0.625,impossible,few,lay_eggs-blackbuck,impossible,few
237,False,1.0,affording_activity-variability_limited-variability_open,all-some,wheels-luggage,variability_open,some
238,False,0.875,variability_open,some,hot-seasoning,variability_open,some
239,False,0.875,rare-unusual-variability_limited,few-some,made_of_wood-washtub,rare,few
240,False,0.875,rare-unusual-variability_limited,few-some,dangerous-naproxen,unusual,few
241,False,0.75,unusual,few,wheels-toboggan,unusual,few
242,False,0.75,afforded_usual-typical_of_concept-typical_of_property,all,fly-flycatcher,afforded_usual-typical_of_concept,all
243,False,1.0,typical_of_concept-variability_limited,all-some,black-mussel,variability_limited,some
244,False,1.0,creative-impossible,creative-few,lay_eggs-humankind,impossible,few
245,False,0.75,rare-unusual-variability_limited,few-some,sweet-coffee,unusual,few
246,False,1.0,impossible,few,lay_eggs-malinois,impossible,few
247,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,dangerous-war,implied_category-typical_of_concept-typical_of_property,all
248,False,0.6666666666666666,impossible-unusual,few,yellow-thundercloud,impossible-unusual,few
249,False,0.6666666666666666,variability_limited-variability_open,some,made_of_wood-chamfer,variability_limited-variability_open,some
250,False,1.0,creative-unusual,creative-few,black-heart,creative,creative
251,False,0.8333333333333334,affording_activity-implied_category-typical_of_concept,all,wheels-racer,affording_activity,all
252,False,0.6666666666666666,variability_limited,some,square-desk,variability_limited,some
253,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,hot-heat,typical_of_property,all
254,False,0.8333333333333334,rare,few,sweet-avocado,rare,few
255,False,0.875,impossible,few,lay_eggs-deer,impossible,few
256,False,0.875,affording_activity-implied_category-typical_of_concept,all,wheels-phaeton,affording_activity-implied_category,all
257,False,0.75,variability_open,some,hot-space,variability_open,some
258,False,0.875,unusual-variability_limited,few-some,sweet-parsnip,variability_limited,some
259,False,1.0,rare-unusual-variability_limited,few-some,black-weasel,variability_limited,some
260,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited,all-some,made_of_wood-barrel,implied_category-typical_of_concept,all
261,False,1.0,rare-unusual,few,yellow-seaweed,rare-unusual,few
262,False,1.0,creative-rare-unusual-variability_open,creative-few-some,dangerous-beetle,unusual,few
263,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,wheels-sidecar,affording_activity-implied_category-typical_of_concept,all
264,False,1.0,implied_category-typical_of_concept-typical_of_property-variability_limited,all-some,made_of_wood-pencil,typical_of_concept,all
265,False,1.0,variability_open,some,yellow-bus,variability_open,some
266,False,1.0,afforded_usual-implied_category-typical_of_concept-typical_of_property,all,lay_eggs-egret,implied_category,all
267,True,0.3333333333333333,,,square-rom,affording_activity-creative-implied_category-impossible-typical_of_concept-typical_of_property-variability_limited,all-creative-few-some
268,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,hot-hearth,affording_activity,all
269,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,dangerous-bayonet,affording_activity-implied_category-typical_of_concept,all
270,False,0.7777777777777778,afforded_usual-implied_category-typical_of_concept-typical_of_property,all,fly-quail,implied_category,all
271,False,0.5555555555555556,creative,creative,made_of_wood-deal,creative,creative
272,False,0.8888888888888888,creative-impossible,creative-few,lay_eggs-bulldog,impossible,few
273,False,0.6,creative-impossible-unusual,creative-few,dangerous-crease,creative-impossible,creative-few
274,False,0.7777777777777778,unusual-variability_open,few-some,black-football,variability_open,some
275,False,1.0,afforded_usual-implied_category-typical_of_concept-typical_of_property,all,fly-pigeon,afforded_usual-implied_category,all
276,False,0.8888888888888888,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited-variability_open,all-some,square-window,variability_open,some
277,False,0.7777777777777778,creative-impossible-rare-unusual,creative-few,hot-freezer,creative,creative
278,False,0.625,implied_category-variability_limited,all-some,square-computer,implied_category-variability_limited,all-some
279,False,0.75,implied_category-variability_open,all-some,dangerous-shaft,variability_open,some
280,False,1.0,affording_activity-implied_category-typical_of_concept-variability_open,all-some,hot-firebox,affording_activity,all
281,False,0.75,impossible,few,lay_eggs-felid,impossible,few
282,False,0.75,rare-unusual-variability_limited,few-some,black-sand,unusual,few
283,False,0.75,rare-unusual,few,yellow-lime,rare,few
284,False,0.625,rare,few,sweet-pod,rare,few
285,False,0.75,variability_limited,some,made_of_wood-railing,variability_limited,some
286,False,0.5,,,fly-crane,afforded_usual-implied_category-typical_of_concept,all
287,False,0.75,impossible,few,lay_eggs-ibex,impossible,few
288,False,0.75,rare-unusual-variability_open,few-some,hot-bottle,variability_open,some
289,False,0.875,rare-unusual-variability_limited,few-some,sweet-onion,variability_limited,some
290,False,0.875,variability_open,some,square-snack,variability_open,some
291,False,1.0,typical_of_concept-typical_of_property-variability_open,all-some,black-hair,variability_open,some
292,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,dangerous-traitor,typical_of_concept,all
293,False,0.875,affording_activity-implied_category-typical_of_concept-variability_limited,all-some,yellow-cheetah,typical_of_concept-variability_limited,all-some
294,False,0.875,affording_activity-implied_category-typical_of_concept-variability_limited,all-some,made_of_wood-rafter,affording_activity-implied_category-variability_limited,all-some
295,False,1.0,affording_activity-implied_category-typical_of_concept-variability_open,all-some,hot-tandoor,implied_category-variability_open,all-some
296,False,0.875,unusual-variability_limited,few-some,sweet-ketchup,variability_limited,some
297,False,0.625,impossible,few,fly-titi,impossible,few
298,False,0.875,implied_category-typical_of_concept-typical_of_property-variability_open,all-some,square-table,typical_of_concept-typical_of_property-variability_open,all-some
299,False,0.875,rare-unusual-variability_limited,few-some,black-eye,variability_limited,some
300,False,1.0,rare-unusual,few,dangerous-businessman,rare-unusual,few
301,False,0.625,impossible-unusual,few,yellow-skunk,impossible-unusual,few
302,False,1.0,implied_category-typical_of_concept-typical_of_property-variability_limited-variability_open,all-some,made_of_wood-bookcase,typical_of_property,all
