,pair,n_annotations,n_workers,n_contradictions,n_workers_contradicting,ratio_workers_contradicting,contradiction_annotation_ratio,average_time_pair,annotators_contradicting,"('afforded_unusual', 'unusual')","('afforded_usual', 'unusual')","('typical_of_concept', 'unusual')","('implied_category', 'unusual')","('typical_of_property', 'unusual')","('impossible', 'typical_of_concept')","('impossible', 'typical_of_property')","('affording_activity', 'unusual')","('implied_category', 'impossible')","('implied_category', 'rare')","('rare', 'typical_of_concept')","('rare', 'typical_of_property')","('affording_activity', 'impossible')","('afforded_unusual', 'impossible')","('afforded_usual', 'impossible')","('affording_activity', 'rare')"
282,red-heart,154,15,17,5,0.3333333333333333,0.11038961038961038,67.83279809523809,5d4434c68225f9001642fcd3 5c75fddeeaaa5700166eda46 5dc029217fa54e4545661559 5dcd8924bab2ec056fb73b82 5e77795324d7c92e567b3e82,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,,1.0
97,round-fritter,145,15,16,4,0.26666666666666666,0.1103448275862069,62.18105333333334,5b994a6d700b020001c572e2 5c4e3248ad466000019166df 5dc029217fa54e4545661559 5e754a41f94f1f0c300b83d9,,,2.0,2.0,2.0,3.0,2.0,2.0,2.0,,,,1.0,,,
237,round-melon,146,15,16,5,0.3333333333333333,0.1095890410958904,97.44221555555555,5bdc4a3b0f86a60001be614a 5d7a42caf0a2960016536deb 5e695bb0254c4a2103ed09da 5e6f89993f2dc053a390dad6 5e1842435b1c591274aef230,,,1.0,1.0,1.0,2.0,3.0,,3.0,2.0,1.0,1.0,1.0,,,
67,round-cucurbit,146,15,16,4,0.26666666666666666,0.1095890410958904,87.69452888888891,5c6fdfccc66879000152d418 5de4f98f047da348a90981eb 5d3337693d0a510019bffca0 5e1842435b1c591274aef230,,,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,,,
36,red-cockroach,140,14,15,7,0.5,0.10714285714285714,65.77330714285713,5b99872a357ce300014f2099 5de2515f676a6d286c48fb2c 5de28ced693f222c2f347507 5de294e8c3bd282be968e7ab 5665df264ef504000d7b6f62 5c1d4d88508cfd000103dc47 5c98a9e305f102001640f1d0,,,5.0,3.0,2.0,,,2.0,,,,1.0,,,,2.0
98,round-pie,150,15,16,5,0.3333333333333333,0.10666666666666667,74.86856666666667,5b994a6d700b020001c572e2 5de4e06be4f42a477cdbb682 5c4e3248ad466000019166df 5d76a2dc2a476a0001ce6843 Shummana.2010@hotmail.com,,,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,1.0
325,red-balloon,150,15,16,5,0.3333333333333333,0.10666666666666667,71.35274000000001,5c590c02e66e510001ef00f9 5de5e8e5a1a3fb572da9cce5 5c1d4d88508cfd000103dc47 5e22fe5aed7a205b0626f097 5e71fc448ebe4211e668e71f,,,3.0,3.0,4.0,1.0,1.0,2.0,,,,,1.0,,,1.0
217,round-seedpod,150,15,16,3,0.2,0.10666666666666667,60.007666666666665,5b8d575aafe6be000115695b 5d667b2ac25c160001b0a6da 5e4b00acecbca8011a7319c1,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,
428,red-rhagoletis,150,15,16,5,0.3333333333333333,0.10666666666666667,79.30995999999999,5d7c8c85f0f16600017679be 5dbb81ae6d82ff16f84bb066 5dc72b0bb98b1252dec22f61 5e385a484af60703465f207d 5e673f3fb47a554b79b02c5a,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,1.0
120,round-hubcap,141,15,15,4,0.26666666666666666,0.10638297872340426,79.21818666666668,5c9e010f7706ba001215deb1 5e754a41f94f1f0c300b83d9 5e78b314dec8904388503b8b 5e78cd5a867cd1012a69ad8b,,,2.0,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0
222,round-sauce,151,15,16,4,0.26666666666666666,0.10596026490066225,91.34115939393938,5de7d4bb0d75cf000df7cb3c 5c35e108f5ebd5000184599e 5c6fc2aae51f6c0001dd2fa1 5e76ab49dec4562243b421f9,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,3.0,,,1.0
260,roll-plaster,67,15,7,2,0.13333333333333333,0.1044776119402985,621.0448847058823,5de67f3e36d8255fc22d6137 5de68727674832000dbeb1ca,2.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,
204,round-onion,173,20,18,5,0.25,0.10404624277456648,106.5861795238095,598780a5e8d50e0001d7c273 5de122c7ff15c24523bccf21 5ddf8f46d0e07e000a396562 5be1c7de91deed00015a97b9 Programmer,,,4.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,,,2.0,,,
253,roll-tray,59,14,6,4,0.2857142857142857,0.1016949152542373,527.7457571428572,5ca924edb570ed0001d22047 5d0269c97b218c00154bd1bf 5daf08f0a6ced10015914870 5db312a14e72fe000cfb3d03,3.0,,1.0,,1.0,,,,,,,,,1.0,,
258,roll-crosshead,69,15,7,3,0.2,0.10144927536231885,620.7666287719298,5d4725646cdbdf001a122fea 5de2a39c8691182c3ed485ff 5de67f3e36d8255fc22d6137,2.0,,2.0,,1.0,,,,,,,,,1.0,1.0,
93,red-eye,50,5,5,2,0.4,0.1,72.65796,5d134f52f1341200164f90e4 5c4e3248ad466000019166df,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,
179,roll-cartridge,50,5,5,3,0.6,0.1,89.33108,587968cb5c17910001ea5190 5c2e0e0b8a20f50001e9fba0 5de7eb635a8f947536c2e41e,3.0,,,,,,,,,,,,,2.0,,
187,red-crab,150,15,15,4,0.26666666666666666,0.1,76.92373333333335,5b730c180da966000147f66c 5e5d84d591b5f0094e38ec2a 5e673f3fb47a554b79b02c5a 5e6f88ac12fd1f000cdf2403,,,1.0,2.0,2.0,2.0,1.0,2.0,,2.0,,1.0,1.0,,,1.0
406,roll-piston,60,6,6,3,0.5,0.1,70.47066666666666,5ba797ad7c0ebe000127092a 5cfd0ec4a6723500162fb445 Karolina,2.0,,,1.0,,1.0,,,,,,,,2.0,,
155,roll-grindstone,50,5,5,2,0.4,0.1,68.26532,5b9335109665440001c74437 5c5758e9efe1550001dc31b6,1.0,1.0,,2.0,1.0,,,,,,,,,,,
346,round-popcorn,50,5,5,2,0.4,0.1,71.91902,58dcfd5a09694a0001a35e0b 5c8cf9c175696a001616f84f,,,1.0,1.0,2.0,,,1.0,,,,,,,,
283,red-egg,50,5,5,2,0.4,0.1,100.29946000000001,5c03d56b5c059400011552ed 5d4434c68225f9001642fcd3,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
278,round-tart,150,15,15,3,0.2,0.1,76.79254666666667,5d77940e1ba9c60016f0d17f 5de8dc07f42a16000a301cd6 59c129a4123c6a0001234c94,,,3.0,3.0,2.0,1.0,1.0,3.0,1.0,,,,1.0,,,
307,red-peony,50,5,5,2,0.4,0.1,59.799,57617fdb1a5ecc0006fc3860 59dc2e2016ecc200016fea95,,,2.0,1.0,1.0,,,1.0,,,,,,,,
62,roll-chock,50,5,5,3,0.6,0.1,62.35126,56a80ddfc89737000b22bd61 5ca0d5cee123a80019ac52c4 5de4f98f047da348a90981eb,2.0,,,1.0,1.0,,,,,,,,,1.0,,
136,roll-driveshaft,50,5,5,2,0.4,0.1,70.14782,5a4bf85dac413f0001e6076a 5bcbb1963c6f9f0001cc747a,2.0,,,,1.0,,1.0,,,,,,,1.0,,
410,red-pomegranate,150,15,15,5,0.3333333333333333,0.1,72.40797333333333,5d82533077c5290015e77b99 5b06e71668eff50001d1b795 5e2a160c77d2c70762f0e32c 5e67cfb2a3821007f17744c8 5e6b7cde2691b2126162ee61,,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,1.0
341,round-scone,150,15,15,6,0.4,0.1,74.95816,5c8cf9c175696a001616f84f 5dcc61ad900e3e8fe2aa68aa 5cb72d295a63a200170af08f 5e6f8d129cfd4d53fc092d1b 5e6f98ded5d246555d98c6e0 5e6f91fe74ff43011dd127ec,,,3.0,3.0,2.0,,,2.0,1.0,1.0,2.0,,,,,1.0
378,roll-manhole,60,15,6,3,0.2,0.1,602.1547733333333,5dd4189ef30aa640b4e9c094 5de3f44fc3bd283f5e3bdebb 5de66395047da35de324deed,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,
111,red-carnation,150,15,15,6,0.4,0.1,73.12550666666667,599aca876b939900012da2cd 5af478d820299700016d0748 5c8119441c40f30001b464b1 5d5eb70caf0eac00178c1a02 5be1c7de91deed00015a97b9 Programmer,,,2.0,3.0,4.0,,,3.0,,1.0,,1.0,,,,1.0
116,round-puree,50,5,5,2,0.4,0.1,57.277040000000014,5de936b4f87f550612b5f282 5de938ece4d1830288b70b33,,,1.0,2.0,1.0,,,1.0,,,,,,,,
127,roll-shovel,50,5,5,2,0.4,0.1,82.19323999999999,5b9581133b90af00014e3cb2 5baed9241fefee0001ecb8c3,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,
247,round-can,150,15,15,5,0.3333333333333333,0.1,60.37056,5db312a14e72fe000cfb3d03 5ddec0b5535a71e309ca658f 5c688d8e9b80050001708a14 5d51e1e3d255270001a28fbb 5b479eb95a02af0001a79012,,,2.0,4.0,2.0,,1.0,4.0,1.0,,,,1.0,,,
363,round-fondant,52,5,5,2,0.4,0.09615384615384616,83.43041666666667,5bb3b490763e440001853e4f 5de24cece3e0cc27a58c659b,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,
393,roll-bike,53,15,5,1,0.06666666666666667,0.09433962264150944,557.1091333333334,5c91bad5be78b00016c8329e,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
269,red-herring,150,15,14,5,0.3333333333333333,0.09333333333333334,79.28198666666665,5ad90f90dec767000128a5f4 5aeded8f0ccc2e0001858d79 5d00e117eb8afc00156d3317 5b222aff59f9620001c109cb 5d76a2dc2a476a0001ce6843,,,2.0,2.0,,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0
395,roll-sprocket,55,15,5,2,0.13333333333333333,0.09090909090909091,432.4245866666667,5984383935fbf100017d1ae7 5c573b734dabe6000176ac3d,2.0,1.0,1.0,1.0,,,,,,,,,,,,
382,red-onion,148,15,13,7,0.4666666666666667,0.08783783783783784,98.66835166666665,5d38b5bc463d580015a05bcc 5de3f44fc3bd283f5e3bdebb 5d7a42caf0a2960016536deb 5e695bb0254c4a2103ed09da 5e6f6b7b7a27a35206e5c30c 5e6f8c15fe7a000009575a52 5e1842435b1c591274aef230,,,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0
293,red-mango,46,5,4,2,0.4,0.08695652173913043,68.16026000000001,59b8018b91f20c00012fe182 5b7aceb29684fc00014f402e,,,2.0,2.0,,,,,,,,,,,,
38,red-cheetah,150,15,13,3,0.2,0.08666666666666667,78.67571333333332,5bfe6f8c6e6cd80001bea615 5c8d3f8bf756d40016683868 5e6a3ff6a21e120a40d76a84,,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,,,1.0
121,red-lime,150,15,13,3,0.2,0.08666666666666667,69.74159333333333,5de936b4f87f550612b5f282 5d76a2dc2a476a0001ce6843 5ddaaaabc944d1a08138b0cc,,,,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,,1.0
219,red-rooster,150,15,13,4,0.26666666666666666,0.08666666666666667,75.17919333333333,5b8d575aafe6be000115695b 5d667b2ac25c160001b0a6da 5ddb44664a113aaa06465dbe 5de7d4bb0d75cf000df7cb3c,,,3.0,4.0,3.0,1.0,1.0,,1.0,,,,,,,
128,round-corkscrew,150,15,13,3,0.2,0.08666666666666667,81.03998,5c1d4d88508cfd000103dc47 5e611e23e6d609000ae35968 5e71fc448ebe4211e668e71f,,,,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,2.0
421,round-candy,150,15,13,5,0.3333333333333333,0.08666666666666667,63.10936,5ddd4e1144840502f8c3dfcd Francesco 5b06e71668eff50001d1b795 5c94176f0791df0014366f00 5e67cfb2a3821007f17744c8,,,2.0,4.0,1.0,,,2.0,,2.0,1.0,1.0,,,,
89,red-glass,150,15,13,5,0.3333333333333333,0.08666666666666667,73.18033333333332,5b281303007d870001c7f24a 5d598dff48766d0001949fb6 5d76a2dc2a476a0001ce6843 5ddaaaabc944d1a08138b0cc Dawid Groszyk,,,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,
243,roll-crankshaft,59,14,5,1,0.07142857142857142,0.0847457627118644,466.7378285714286,5de8ce62b63ed7845a7c97ae,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,
151,roll-plastic,60,15,5,2,0.13333333333333333,0.08333333333333333,631.3225666666665,5a666a2713898300014b6a4d 5c8bfcd7e5265900010d7ba6,2.0,1.0,1.0,1.0,,,,,,,,,,,,
409,roll-ball,60,15,5,1,0.06666666666666667,0.08333333333333333,759.9132666666666,5d82533077c5290015e77b99,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
181,roll-handrail,60,15,5,2,0.13333333333333333,0.08333333333333333,482.3099599999999,5c2e0e0b8a20f50001e9fba0 5de7eb635a8f947536c2e41e,2.0,,1.0,,,1.0,,,,,,,,1.0,,
199,round-mozzarella,73,10,6,3,0.3,0.0821917808219178,145.29241904761903,598780a5e8d50e0001d7c273 5dd7f4dbdcec87782e2d4e5c 5de122c7ff15c24523bccf21,,,1.0,2.0,2.0,,,1.0,,,,,,,,
322,round-almond,50,5,4,2,0.4,0.08,53.13152,5c590c02e66e510001ef00f9 5dd4b451794e10492fe4d7e6,,,1.0,2.0,1.0,,,,,,,,,,,
296,red-frog,50,5,4,3,0.6,0.08,51.76862000000001,5b715e02b5d9590001824e3d 5d9e5674421f180015f93c96 5de76e8d36d8256e47625c4f,,,,1.0,1.0,,1.0,1.0,,,,,,,,
295,roll-gearshift,50,5,4,2,0.4,0.08,51.76862000000001,5b715e02b5d9590001824e3d 5de76e8d36d8256e47625c4f,1.0,,,,,1.0,1.0,,,,,,,1.0,,
233,round-gourd,50,5,4,1,0.2,0.08,91.59432000000001,5c8f9cfea4b1bd0017fb664d,,,,,1.0,,1.0,1.0,,,,,1.0,,,
180,round-spoon,150,15,12,6,0.4,0.08,84.6686,5de7eb635a8f947536c2e41e 5b06e71668eff50001d1b795 5c41047672b87000013a5f0a 5c94176f0791df0014366f00 5e67cfb2a3821007f17744c8 5e67d9ed33e6a60542f4dfd7,,,1.0,1.0,,1.0,,4.0,1.0,,1.0,,,,,3.0
10,roll-lever,50,5,4,2,0.4,0.08,61.97248,5c8119441c40f30001b464b1 5de79f78900c1370809c0596,1.0,,,1.0,1.0,,,,1.0,,,,,,,
268,roll-plunger,50,5,4,2,0.4,0.08,85.89822,5c9eda5a32060c0015a6d6ab 5d00e117eb8afc00156d3317,2.0,,,2.0,,,,,,,,,,,,
360,red-blackboard,50,5,4,1,0.2,0.08,76.86537999999999,5c91321c0375460001034cb8,,,1.0,,1.0,1.0,1.0,,,,,,,,,
383,round-baseball,50,5,4,1,0.2,0.08,105.20092,5de3f44fc3bd283f5e3bdebb,,,1.0,1.0,1.0,,,1.0,,,,,,,,
182,roll-boiler,50,5,4,4,0.8,0.08,89.33108,587968cb5c17910001ea5190 5b5c2fdbf7591300019061a1 5c2e0e0b8a20f50001e9fba0 5de7eb635a8f947536c2e41e,3.0,,,,,,,,,,,,,1.0,,
14,red-jam,150,15,12,5,0.3333333333333333,0.08,79.96158,5c8119441c40f30001b464b1 59c129a4123c6a0001234c94 5c67338e7d17f800013f6176 5cae11e9d59a05001961a299 5d553d4e6416e9001aeaa8a9,,,2.0,3.0,2.0,,,2.0,,1.0,1.0,1.0,,,,
427,roll-pig,50,5,4,3,0.6,0.08,67.80354,5b58e75f57f6aa00010a56e1 5c9e5360bb028c00166755fa 5d6ec714d7d0900001831ade,3.0,,,1.0,,,,,,,,,,,,
82,roll-millstone,50,5,4,1,0.2,0.08,67.4672,5d16693671c14b0016611eab,,1.0,1.0,1.0,1.0,,,,,,,,,,,
347,red-car,50,5,4,1,0.2,0.08,71.91902,5c8cf9c175696a001616f84f,,,1.0,1.0,1.0,,,1.0,,,,,,,,
70,roll-wiffle,50,5,4,2,0.4,0.08,100.78590000000001,5a522443eedc3200014207ec 5d1a0a47c210c700185e7c05,,1.0,1.0,1.0,,,,,,,,,,,1.0,
91,red-pot,50,5,4,3,0.6,0.08,67.59326000000001,5c097af754deae0001ac6534 5d598dff48766d0001949fb6 5de6e6eda63c7b6655e3eb3b,,,,2.0,1.0,,,1.0,,,,,,,,
86,red-wine,50,5,4,1,0.2,0.08,67.59326000000001,5c097af754deae0001ac6534,,,1.0,1.0,1.0,,,1.0,,,,,,,,
166,round-vegetable,50,5,4,1,0.2,0.08,44.86628,5cd94cb10196990019dbcb09,,,1.0,1.0,1.0,,,1.0,,,,,,,,
99,round-creamer,143,15,11,3,0.2,0.07692307692307693,75.79668222222223,5d134f52f1341200164f90e4 5de4e06be4f42a477cdbb682 5c1d4d88508cfd000103dc47,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,,,
48,roll-rail,54,5,4,3,0.6,0.07407407407407407,77.51511428571428,5bab3e1f24c3260001663809 5c9104c4eeadb5001678f598 5d4ab5d644c0ee0001740f61,2.0,,,1.0,,,,,,,,,,1.0,,
319,red-custard,150,15,11,5,0.3333333333333333,0.07333333333333333,78.43703333333333,5dd4b451794e10492fe4d7e6 5de5e8e5a1a3fb572da9cce5 5bfe6f8c6e6cd80001bea615 5c8d3f8bf756d40016683868 5e6a3ff6a21e120a40d76a84,,,,3.0,1.0,1.0,,1.0,2.0,,,1.0,2.0,,,
284,red-cake,150,15,11,4,0.26666666666666666,0.07333333333333333,88.32472666666668,5d4434c68225f9001642fcd3 5b06e71668eff50001d1b795 5c41047672b87000013a5f0a 5c94176f0791df0014366f00,,,3.0,1.0,2.0,,,3.0,,,1.0,,,,,1.0
149,red-olive,150,15,11,4,0.26666666666666666,0.07333333333333333,69.31059333333333,5c8bfcd7e5265900010d7ba6 5cb4f4ec46ed1300015b05 5d82852ae7a57100011a6122 Programmer,,,1.0,1.0,1.0,,,2.0,1.0,,,,3.0,,,2.0
73,round-room,150,15,11,5,0.3333333333333333,0.07333333333333333,107.83498666666667,5a98287ff6dfdd0001ea7af6 5d1a0a47c210c700185e7c05 5de4bdff9d5c0f063f3f45e9 5c35e108f5ebd5000184599e 5e76ab49dec4562243b421f9,,,2.0,2.0,1.0,1.0,,2.0,,,1.0,1.0,,,,1.0
396,round-button,41,5,3,2,0.4,0.07317073170731707,116.58160000000001,5c91bad5be78b00016c8329e 5dcfd2481096ea0dc9d510df,,,1.0,1.0,1.0,,,,,,,,,,,
367,red-chutney,151,15,11,4,0.26666666666666666,0.0728476821192053,102.4926503030303,5b8c02e2355464000101cc7c 5de24cece3e0cc27a58c659b 5c35e108f5ebd5000184599e 5e76ab49dec4562243b421f9,,,1.0,1.0,,3.0,,,1.0,2.0,2.0,,1.0,,,
399,red-shiitake,42,5,3,1,0.2,0.07142857142857142,75.69069999999999,5c91bad5be78b00016c8329e,,,1.0,1.0,,,,1.0,,,,,,,,
257,roll-headboard,56,5,4,2,0.4,0.07142857142857142,84.5076975,5de2a39c8691182c3ed485ff 5de67f3e36d8255fc22d6137,1.0,,,1.0,,,,,1.0,,,,,1.0,,
397,roll-rifling,43,5,3,1,0.2,0.06976744186046512,62.0604,5984383935fbf100017d1ae7,,1.0,1.0,,1.0,,,,,,,,,,,
280,roll-fusee,73,17,5,2,0.11764705882352941,0.0684931506849315,6901.831935294119,57e131b80cb6700001dd7e5c 5d99be023fdbbd00181f6548,2.0,1.0,,2.0,,,,,,,,,,,,
27,roll-noseband,59,14,4,2,0.14285714285714285,0.06779661016949153,464.00023571428574,5dc0395f2a1dd64710661ccd 5ddc56fbf290e7bbfa96481d,1.0,,,,,1.0,,,1.0,,,,,,1.0,
135,roll-brick,60,15,4,3,0.2,0.06666666666666667,559.80494,5a4bf85dac413f0001e6076a 5bcbb1963c6f9f0001cc747a 5de6dd9be3e0cc6642ea3b33,3.0,,,,,,,,,,,,,1.0,,
238,roll-bottle,60,15,4,1,0.06666666666666667,0.06666666666666667,637.7967066666665,5c8f9cfea4b1bd0017fb664d,1.0,,1.0,1.0,1.0,,,,,,,,,,,
412,roll-breechblock,60,15,4,1,0.06666666666666667,0.06666666666666667,566.4321333333334,5dbb6eaea8461a16567fbb02,1.0,,,1.0,,,,,1.0,,,,,1.0,,
248,roll-vaporizer,60,15,4,3,0.2,0.06666666666666667,634.9907066666667,5d0269c97b218c00154bd1bf 5daf08f0a6ced10015914870 5db312a14e72fe000cfb3d03,3.0,,1.0,,,,,,,,,,,,,
342,roll-cylinder,60,15,4,1,0.06666666666666667,0.06666666666666667,766.3698733333333,5c8cf9c175696a001616f84f,,1.0,1.0,1.0,1.0,,,,,,,,,,,
9,roll-wheel,60,15,4,1,0.06666666666666667,0.06666666666666667,557.0798266666667,5c8119441c40f30001b464b1,1.0,1.0,1.0,1.0,,,,,,,,,,,,
334,roll-tyre,60,15,4,1,0.06666666666666667,0.06666666666666667,422.64631333333335,5daa50967776b10016e1bc9b,,1.0,1.0,1.0,1.0,,,,,,,,,,,
165,red-sauce,150,15,10,2,0.13333333333333333,0.06666666666666667,65.94058,5cd94cb10196990019dbcb09 5c98f0f728cfb0001667d035,,,2.0,1.0,2.0,2.0,2.0,,1.0,,,,,,,
329,round-tomato,150,15,10,3,0.2,0.06666666666666667,78.79812666666665,5d70ed4be61c8d001cf102d5 5de8e64f913386000ba50bda 5c8d3f8bf756d40016683868,,,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,
304,roll-glass,60,15,4,3,0.2,0.06666666666666667,612.9738666666667,57617fdb1a5ecc0006fc3860 59dc2e2016ecc200016fea95 5ddc0d87d3ac2ad102aff2b9,2.0,,,1.0,1.0,,,,,,,,,,,
297,red-cinnamon,150,15,10,4,0.26666666666666666,0.06666666666666667,62.5095,59efd1e377860e0001513786 5be1c7de91deed00015a97b9 5d82852ae7a57100011a6122 Programmer,,,1.0,2.0,,,,2.0,1.0,2.0,,1.0,,,,1.0
64,roll-kickstand,60,15,4,3,0.2,0.06666666666666667,527.27622,5b7ebb54ff1109000172a67b 5ca0d5cee123a80019ac52c4 5de4f98f047da348a90981eb,2.0,,,1.0,,,,,,,,,,1.0,,
47,round-coleslaw,152,15,10,2,0.13333333333333333,0.06578947368421052,77.11933555555555,5d76a2dc2a476a0001ce6843 5d970320520c980013241545,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0
22,round-pancake,46,5,3,1,0.2,0.06521739130434782,55.76286666666666,5a50c8afac562400015353b7,,,1.0,1.0,1.0,,,,,,,,,,,
100,round-cornmeal,47,5,3,2,0.4,0.06382978723404255,30.617880000000003,5ddd00151b7f3f000dae7197 bladakura,,,,,,,,,2.0,,,,1.0,,,
350,red-galangal,143,15,9,4,0.26666666666666666,0.06293706293706294,64.70438444444444,5d1dc300a7056c001674fd3a 5be975720e366e0001763237 5dc029217fa54e4545661559 5d23c63ad8324d0001efe974,,,1.0,2.0,2.0,,,1.0,,1.0,,1.0,,,,1.0
104,red-couch,48,5,3,2,0.4,0.0625,30.617880000000003,5cec240c12859100194d9e66 5ddd00151b7f3f000dae7197,,,1.0,2.0,,,,,,,,,,,,
19,red-lentil,147,15,9,6,0.4,0.061224489795918366,74.96527523809524,5a50c8afac562400015353b7 5bda4059ea656500011d5334 5de0557af31ad20d81756185 5a19d62dab721b0001ef91e6 5dc72b0bb98b1252dec22f61 5e385a484af60703465f207d,,,,3.0,3.0,,,,1.0,,,1.0,1.0,,,
118,round-mentzelia,50,5,3,1,0.2,0.06,57.277040000000014,5c9e010f7706ba001215deb1,,,1.0,1.0,1.0,,,,,,,,,,,
83,round-cake,50,5,3,1,0.2,0.06,67.4672,5d16693671c14b0016611eab,,,1.0,1.0,1.0,,,,,,,,,,,
3,red-bulgur,50,5,3,2,0.4,0.06,62.771339999999995,5cfa7e66b131cd001aa86c44 5d025e0959967a0019b3db84,,,2.0,1.0,,,,,,,,,,,,
375,round-sphere,50,5,3,1,0.2,0.06,78.14953999999999,5a473bda7aebf70001153fb5,,,,,,1.0,,,1.0,,,,1.0,,,
287,round-pasta,50,5,3,2,0.4,0.06,100.29946000000001,5c03d56b5c059400011552ed 5d4434c68225f9001642fcd3,,,,1.0,,,,1.0,,,,,1.0,,,
223,round-seasoning,50,5,3,1,0.2,0.06,55.41124,5de7d4bb0d75cf000df7cb3c,,,,,,1.0,1.0,,,,,,1.0,,,
422,red-coffee,150,15,9,3,0.2,0.06,79.30995999999999,5d7c8c85f0f16600017679be 5dc72b0bb98b1252dec22f61 5e673f3fb47a554b79b02c5a,,,2.0,,3.0,1.0,1.0,,,,1.0,1.0,,,,
161,roll-tile,50,5,3,2,0.4,0.06,68.26532,5c5b57d70be57e0001fa116d 5cc84582e5752200014739cf,2.0,,,,,,,,,,,,,1.0,,
122,round-bean,50,5,3,2,0.4,0.06,82.19323999999999,5c79d035998fb70001efcf1e 5de043dae448c60bb13722af,,,1.0,1.0,,,,,1.0,,,,,,,
277,red-football,50,5,3,2,0.4,0.06,52.46538,5d14abad4d38750001435f74 5d77940e1ba9c60016f0d17f,,,1.0,1.0,1.0,,,,,,,,,,,
44,red-vegetable,50,5,3,2,0.4,0.06,53.84756,5a4bf85dac413f0001e6076a 5bfa79fdb8a4c50001b8a68a,,,,2.0,1.0,,,,,,,,,,,
175,red-hair,50,5,3,2,0.4,0.06,23.56302,59d3764946447f00011f0407 5b2e41eb1d2f710001fb32db,,,,1.0,1.0,,,1.0,,,,,,,,
380,round-cheesecloth,50,5,3,2,0.4,0.06,105.20092,5d38b5bc463d580015a05bcc 5dd4189ef30aa640b4e9c094,,,1.0,1.0,,1.0,,,,,,,,,,
303,roll-windowpane,50,5,3,2,0.4,0.06,59.799,57617fdb1a5ecc0006fc3860 5ddc0d87d3ac2ad102aff2b9,2.0,,,,,,,,,,,,,1.0,,
249,red-blackberry,150,15,9,6,0.4,0.06,73.72488,5db312a14e72fe000cfb3d03 5ddec0b5535a71e309ca658f 5b06e71668eff50001d1b795 5c41047672b87000013a5f0a 5e67cfb2a3821007f17744c8 5e6b9983d4948e1491e34553,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0
78,red-night,150,15,9,3,0.2,0.06,76.13130000000001,5c1d4d88508cfd000103dc47 5cb1f692ff629100011b05cf 5e71fc448ebe4211e668e71f,,,2.0,2.0,,1.0,,,1.0,1.0,1.0,,1.0,,,
77,round-frisbee,50,5,3,1,0.2,0.06,67.4672,5d16693671c14b0016611eab,,,1.0,1.0,1.0,,,,,,,,,,,
168,red-cream,50,5,3,2,0.4,0.06,44.86628,5cd94cb10196990019dbcb09 5d1cf9681118d600011be7ff,,,,2.0,,,,,1.0,,,,,,,
381,red-raisin,50,5,3,2,0.4,0.06,105.20092,5d38b5bc463d580015a05bcc 5dd4189ef30aa640b4e9c094,,,,1.0,,,1.0,,,,,,1.0,,,
333,red-potato,140,14,8,3,0.21428571428571427,0.05714285714285714,70.9894857142857,5c5736fad3cc6b0001d9da41 5c1d4d88508cfd000103dc47 5c8566ba0d4ac0000196d065,,,1.0,2.0,1.0,,,3.0,,,,,,,,1.0
126,round-plunger,142,15,8,4,0.26666666666666666,0.056338028169014086,80.11781333333333,5c79d035998fb70001efcf1e 5de043dae448c60bb13722af 5df0c7b60a30c6102c0772ba 5c729af09048710001bcdeac,,,2.0,2.0,,,,3.0,,,,,1.0,,,
