pair,n_annotations,n_workers,n_contradictions,n_workers_contradicting,ratio_workers_contradicting,contradiction_annotation_ratio,n_possible_contradictions,contradiction_poss_contradiction_ratio,average_time_pair,workers_contradicting,workers_not_contradicting,"('afforded_usual', 'unusual')","('typical_of_concept', 'unusual')","('implied_category', 'unusual')",annotations_with_contradiction,"('typical_of_property', 'unusual')","('impossible', 'typical_of_concept')","('impossible', 'typical_of_property')","('affording_activity', 'unusual')","('implied_category', 'impossible')","('affording_activity', 'impossible')","('afforded_usual', 'impossible')"
red-eye,50,5,5,2,0.4,0.1,40,0.125,72.65796,5d134f52f1341200164f90e4 5c4e3248ad466000019166df,5b994a6d700b020001c572e2 5bce0e9e48473300014cafca 5de4e06be4f42a477cdbb682,,1.0,1.0,3ed1aa3c-0b2f-4016-bbd2-6d2d1af63a25 7f8b3e28-d485-4928-bd87-5ddb7f79df8e 59174b40-b82e-48e9-995c-30215e805e27 c00ed9b1-9e33-4883-abdc-d207979a1acc faf329e2-c117-4944-88ce-398b6cd4ae5f d055ded1-84c9-433b-b807-c1046aabd89f af8411d2-7b51-425d-b760-6c746a5bc4a5 5ff49fdd-7e38-41ed-b4f5-c136388ee08f 73a2bc23-81ff-4be3-880c-151eb9b459fc bb6d53dd-ada5-45f0-911e-a75c8558ee9a 62ecfb9e-b78f-4f72-9ec7-868938d1ebeb e36cca9f-a864-4ee9-b040-91edc2cea795 17b5c674-1eb5-4ac3-8c7a-6655a97cc177 0e4508a0-b3ff-45ab-9eed-a581a26dc8c0 db2905ad-c17d-4b9c-8322-fc2aa9116781 a899c4fc-34e0-4a06-a970-9357eff01016 1991baea-7a2a-4170-b37d-5a28ac06ccbf c2b8bd3e-ea1b-4404-8284-037ca5fb577a 9155aee7-cf25-457f-a2bc-72f77fcc14e2 b5415d7e-7b81-43c5-9cd4-50ebd7d9eddb,,1.0,,1.0,1.0,,
round-fritter,50,5,7,2,0.4,0.14,40,0.175,72.65796,5b994a6d700b020001c572e2 5c4e3248ad466000019166df,5bce0e9e48473300014cafca 5d134f52f1341200164f90e4 5de4e06be4f42a477cdbb682,,1.0,1.0,e6dc6a60-155f-4a4f-bf77-bfa39718ebee ff78959d-1794-4e72-a6a8-ecb4206d2159 33b175c6-6d14-44fe-92d9-6b9d935ce21c 831a1f38-5b89-4fd7-9205-e11ec6fbd4e0 74367502-4b3c-42bc-bc5f-653ad198104c bb4986db-5dbb-43b5-ae4b-8b4ce62707c1 54c387a6-c956-4742-b83d-f40e51bcacef 5e2deb27-867d-4ef3-b494-ccfa7dc84100 93f7a708-10b1-4125-ba91-a14b006e7df5 99a0179d-3773-402d-b7df-604e43d63164 fb78502d-819e-4946-97ff-dcac9d099665 050814d8-614d-4f35-a5cd-b3152d2048e4 3d400b3b-8b46-483c-9f34-1f0da65ccdcd a698eb49-4c26-4c33-baa9-8b4576cdec66 40a49627-542c-4793-bfce-9be74d0e5018 f3b1c92f-226a-4450-8044-e1ef65c4a62a badb436f-b42f-426a-a36f-d629cfeb6ff4 c4e73384-b94c-4a45-ae13-04d14dd87c1d 49e90ed5-0a9b-450d-8d89-c03aa55a0eb2 6da6963c-51af-4c3f-83ef-3206149228e2,1.0,1.0,1.0,1.0,1.0,,
red-couch,48,5,3,2,0.4,0.0625,38,0.07894736842105263,30.617880000000003,5cec240c12859100194d9e66 5ddd00151b7f3f000dae7197,5de560e8cca54a4e59b74553 bladakura Irlen syndrome Screeners,,1.0,2.0,1615addf-e006-42e9-bb90-6848f0b94128 87764e2b-1a22-4b61-8e23-c6bc14a1c79e f95a95a2-073b-4512-893d-84dd06728864 153fc9f2-97de-4b4d-acb6-8d01c652960a 694bc797-06c6-4244-b1f4-06671d7ee1ff 11b63801-9176-47ae-99a3-81b767b25c0d 68285a9a-8565-4964-b413-18d5df899fb8 bd5574e7-29a5-42f3-ba18-8aa21c0a20e2 9e74fd97-c98d-449f-aad6-d0f01fd86f51 9d2d6e81-ba45-4afe-b277-60b856f2d1e2 e8912a6b-1733-44cd-9bcb-88c8f8ac487b 73529984-9619-43ab-a128-9015ffcff79d 29a98ee2-1f6d-430f-aa9c-fbc6dc9b31cd 8da1fe88-5aa8-4266-9c5f-0d5233e3c2b3 4d1ea4f2-2fd0-4120-b0e5-f3b6b77c82cd 20834c2c-89e1-4953-9ae1-561dddcb70b9 f93b9874-bc3d-4ae5-aec8-d2b2bc687c81 d2f05596-f348-4001-9370-e1639cb9298a,,,,,,,
roll-lever,50,5,3,2,0.4,0.06,40,0.075,61.97248,5c8119441c40f30001b464b1 5de79f78900c1370809c0596,5a22e6aabf56cc00017701ef 5c41f300b96aae0001e75848 5ceac282ca3e100016373e3c,,,1.0,0c5825e9-d3c7-44cc-a1d1-3226f53a755f 9e3c4a77-e8a8-4822-9528-fcfdaf1fda2b 06614749-f129-4f15-8f6d-2f5aa40038bc afdf6e14-5e19-4f84-b0b9-253f6c9a3532 5f480529-7113-491c-97f4-b5cea444d350 b6d0d96a-88fb-4512-a61a-fcd6817f5a18 2df02ff2-20bf-420c-9238-c60adfac76d0 9ac86c1d-b622-4e11-abc6-92efa6268ea1 0bed28a1-fec1-41aa-a7be-d8b1a4f3753d 98a3955c-0700-4fab-a10e-20c750b67a72 5010da59-e236-45e3-a0cd-4664ebeb8d64 015fe9ed-f01e-4302-8118-a5375933f03b a88baa81-2867-4b0f-939c-d2aa8d935885 c16ef121-b74d-45a3-8bad-e2948a195211 ce7151a5-e42d-436e-8bee-805fc51400d4 c4aef9b7-ce31-40e0-b4a3-6c22a9a37a2c 10941824-b328-43e9-996b-a740b8abc3cf f2b936b2-505a-4907-93d0-866c202b2ac0 36a6dd64-88e6-4b79-82b0-09eab78570c4 27b327ab-0cfc-4a31-9a21-1b66eb9cec59,1.0,,,,1.0,,
round-enchiladas,50,5,2,2,0.4,0.04,40,0.05,82.19323999999999,5c79d035998fb70001efcf1e 5de043dae448c60bb13722af,5b9581133b90af00014e3cb2 5baed9241fefee0001ecb8c3 5de2414f93203f26d66ba564,,,1.0,52b75e2c-fb8a-4ba4-ba67-19d9fad9f746 b1c5d3df-cce0-4863-bcc9-ac635406e0a3 dbdaaa9b-6b23-4ffe-8277-659fa9fce65b 67da7e5e-ffd3-4e67-bad7-e979b2dbb39e 5bb05c66-d66c-49ab-becf-20b84ebb7bc3 62af7bc2-8974-4037-8815-6b379b130dc3 5b3a7e13-1dd3-4f3b-ad2e-a2202d354f14 ab1de920-e813-4f32-aa89-40e7a8b40cbb 7ef35073-135c-49fe-ab8c-44ab543f84be c9f29cb6-6ed8-44d6-b5f9-0a0e2848b579 a82ea37f-5106-4a9b-b3a6-1513a6ae83d6 38cbf1ea-1f0b-4017-af19-ed8ced6ce1a1 929a9b34-0bb5-45cd-8e70-3f29ddb829ef 65c80afa-d0f9-4c2c-98ee-edd61cc92874 c2c341c6-e059-40ec-a64f-53d1a3f9097a ed84c413-c935-4184-ad52-13c6626948b8 d0dd74e6-2b1e-4dbb-a1b4-a7e5ec051fa0 044a68ef-0ed8-4a24-b6f4-5455c90fd58e 696ce2f0-96f7-4a32-a776-e2e4ff4b5102 bdf393b2-baf4-47a6-95b3-e4a8c97a4176,,,,1.0,,,
round-creamer,50,5,9,2,0.4,0.18,40,0.225,72.65796,5d134f52f1341200164f90e4 5de4e06be4f42a477cdbb682,5b994a6d700b020001c572e2 5bce0e9e48473300014cafca 5c4e3248ad466000019166df,,2.0,2.0,1f4fcc24-2650-447e-91b1-a60182b6d0c6 6115f323-168f-4767-8afd-30b251dc8e49 48894d56-7e6a-4aab-80a3-c0c7a4b997b1 faf154c6-b841-4596-95c6-998b0d66a439 c26a7e4a-1deb-43e9-8185-04a4e399f674 2146beea-6326-4b79-ae8a-2c850cfe0fe8 b05c57e3-d151-406c-a55d-3457053a8a42 97559d9b-a8dd-44e5-88e0-2eb95d6420f8 669618cc-aad3-4e13-b1a6-12a3950efde7 e3ffb9e0-f86a-420b-a62a-98e628cdcc9d 375e1fcc-5376-47a1-b7ae-8c143eaa01e8 596d7c9b-34b9-4a46-8a3d-2314b9394e70 95c5417a-7061-425b-941a-69ba884dade2 75bace85-e75d-4bca-93b9-ad90799bb2f6 c2ee3db1-7c62-46ae-9f37-99c8b6b4d5fb 81b694ae-f610-4ab6-8265-d95237a3ef7a 0d5c7ae8-7691-479d-ba12-0900b6a1f2db d1b6e164-e14e-4ae8-90ec-fa8e985bd0e9 ecca47c4-10c1-4853-a5f9-a0ec149cc64a 4c13ebfc-3a80-49c4-a259-6b8f058c2d41,2.0,1.0,1.0,,1.0,,
round-bean,50,5,3,2,0.4,0.06,40,0.075,82.19323999999999,5c79d035998fb70001efcf1e 5de043dae448c60bb13722af,5b9581133b90af00014e3cb2 5baed9241fefee0001ecb8c3 5de2414f93203f26d66ba564,,1.0,1.0,27739b33-7b15-47e5-80b4-1175323b9885 bfc7a9b4-17ea-44fe-b55f-0956932f2fb8 b000f0e6-6d51-4d05-93ca-cee1c9b80d9c 63829fe8-6fb5-4ba3-a045-32da42989eec fb0f8eb9-b010-45a1-9bd1-850a92eff719 061ebc66-3638-4db9-a274-9df2fe51c33b c4bdc673-b1cb-4477-bdbe-ccb42df10ed6 0d7e5af8-d6e6-461c-9ace-de4c8e9002d5 ba0a5b29-5f17-435e-ad6a-1eec4cc0830f e86e873b-4730-4c07-925d-cf91e586fa53 101ba0ea-b337-46f2-b260-6c8416235465 90180306-c3bf-4869-b58a-efe6e2166a55 c8a2f074-fa48-4348-8df8-78ca7f2d56bd 508ee551-b214-4f1a-9364-be3e38d7c06a 8c5c56c5-95a8-4f76-8958-289dd14702ff f299a329-851c-410b-9910-fe88b630cb4a a6bab69c-027b-41c4-9a64-49d1e2688038 20124489-0285-4728-a792-4ec8bab63124 dfcdd2a1-b942-4768-8082-e2f924c24a69 57f1e1b9-448f-4492-a227-d671f19e0fa1,,,,,1.0,,
round-puree,50,5,5,2,0.4,0.1,40,0.125,57.277040000000014,5de936b4f87f550612b5f282 5de938ece4d1830288b70b33,5c547ab2fd88bb0001868aec 5c9e010f7706ba001215deb1 5de85bd4ead0f17d1e35930b,,1.0,2.0,ad9f0362-06c5-4f15-be44-43de8bc83e5d 6f73b062-fb49-4199-8dc5-eab6f441e761 59751b6d-d8ce-4f3c-98a8-0f213e30c8bc 23f036ae-2755-4b21-a638-bb4a15c3c58d 11ac6f60-29b7-41d6-912a-9b05da151d11 188ccd57-8c33-432d-a86a-e195bce11a92 ccdc69cd-89b6-41d1-9d3c-4484032e9fee 7593834b-ecb4-4c8a-9b45-b4e0d8ee8b9b 1c0024c4-d061-4f27-8e09-0f3221e7a35e 869e5119-4029-443e-9d9d-1bfbeb2d1f0e e1c67879-775d-4621-8b0e-6066201ab035 633d33be-9b19-4b40-b104-59abea85c640 989e2be1-7039-4c29-bc97-52ca9e7eaba9 3ebf3e26-3bcb-4081-bd0a-c63a17c5da6b 7c8a3f04-966f-49d7-879f-09eabeaafa54 de05f57d-d107-4043-b070-ac33c41c2224 d369b79e-e736-4e28-9a86-3e9122d0ba7b 67c7b95f-18d0-42e6-806c-0cbd3f4b62ca 2d4d0804-4183-4d20-a289-314ded8c47cc 732e3bd3-0761-48e5-bf42-fe1e1b39a1d7,1.0,,,1.0,,,
round-cornmeal,47,5,3,2,0.4,0.06382978723404255,40,0.075,30.617880000000003,5ddd00151b7f3f000dae7197 bladakura,5cec240c12859100194d9e66 5de560e8cca54a4e59b74553 Irlen syndrome Screeners,,,,8cc3d6fc-5c35-4d19-b0b5-daa5e4bb060b 72e0fcd1-5032-4f9e-bbec-9de8cf7ba608 cca182d4-a317-462f-8978-bb43e9faa7c3 d5ffa158-b3a3-43c0-9e52-e1f2a8eb3465 da6fd9e0-8ace-4365-9ea9-fe08402bb973 3f07a46c-3410-4a09-b2bc-ebe26f147c0a d11fa942-e6b5-4c21-b7dc-5b2da63ddcce e0738e04-3449-4efa-803b-126deb656091 c7dbc660-13db-4eca-a4bc-a55fa4fefa39 2af57617-e3cd-4e04-9435-37c82a08a503 7a668c29-88d5-4e86-9c76-851809d90431 3868334a-666f-4b4c-a485-e60f8c610944 65c4023e-0a12-435a-92c0-4f6df783594a 87d441e0-58b0-42e6-bc8f-c6cd58dba9c1 1d72c2ae-777f-4f18-8b5a-39658ad0f1e1 f6218d9e-70b0-42d6-8956-2c25c8472cdf f4740a7a-abfc-4392-ac43-8a8b59c7b465,,,,,2.0,1.0,
round-dresser,49,5,4,2,0.4,0.08163265306122448,40,0.1,53.44497777777777,5bda4059ea656500011d5334 5de0557af31ad20d81756185,5a50c8afac562400015353b7 5d430e89be616d0015f784e8 5baa4c22c4d93b0001bea5a5,,,1.0,58a65f53-0281-49ff-82d4-fbfe163788f8 51a85a73-c5cb-4ab5-9c1f-56a5394c3ea5 16964ac7-3496-4a3f-931a-887fc3b6bdb9 02b1567d-e8be-4943-a393-104f3451f719 3ce2eaf2-2961-47de-a482-663b1671a9c8 7864f6bc-4cc9-424b-8c48-b57db45d1be3 52cf13ca-0f26-4d5f-9456-adf138b7deb6 0422b682-1484-42b2-9b76-90ced3208f0a 13c45c46-f487-493c-bc13-32ecedd0d73d ead0f5da-ff43-4c95-b010-23f46defe6ad c8b5f612-633d-426b-b1a1-e9b6e85c2cdd 1424a215-e42b-46cf-ae39-78ce84715e44 69110651-4b6c-4601-b4af-774cc820fc03 10abd12b-dffa-4a34-83cc-eaa43460bb78 22bcb392-e279-466c-ad83-cdd180c805a0 f34a2fa8-4ac6-49b1-a253-b84431797a98 512bcda5-4b10-498e-b3fa-6b34e232b51c 5583c7dc-7082-4f69-b757-f32ff1689e79 aefa2ffc-69a3-430b-8f64-b7e9e403b694 5451d8f4-e75b-4da5-b370-069e252483a2,,,,1.0,1.0,1.0,
roll-wiffle,50,5,4,2,0.4,0.08,40,0.1,100.78590000000001,5a522443eedc3200014207ec 5d1a0a47c210c700185e7c05,5a98287ff6dfdd0001ea7af6 5bbc603e7624280001366e60 5de4bdff9d5c0f063f3f45e9,1.0,1.0,1.0,a005be9d-c9de-4065-bd7b-0b82fe44f6e7 4fafc288-3ae5-4192-9c29-249fcf6a09d7 cf638783-092e-4e68-a239-c3cac50ab020 d277f60a-e88d-4c96-9dff-169284e43010 3abf45cf-47ed-4cbb-a086-c274809875d3 4f05f781-bf05-4f94-9831-27c14e819701 fad51069-41c0-401a-9118-ea9881b680d0 4b03a74e-5393-41f9-92c0-68e5aa74958c 2d96af3d-01a4-494b-aaea-a752b6973fed a9f0984e-7d9c-4bf3-b209-baf158846204 d2da7c5b-b664-48ba-834f-07065c1e3c23 ac9c03cb-5a49-4920-9a3d-d44eae7a943b d3758a04-c437-4981-b67d-667ff7e01738 801e344a-847d-4efc-aa1e-7bbd4375480d d376239a-ae2f-41ac-91f2-eacedb98ffed 7febebc2-f552-4d0d-94b1-a853f6c7b4bf 0411162f-abca-44b3-9f8c-69be81e28550 d00f3fa8-127c-4343-9656-8b8b93b53f71 5b14759b-460f-473d-8be7-4db6fe83ecea d40865da-a5c9-48a7-aa10-42d5356b8e36,,,,,,,1.0
red-bloodstone,50,5,6,2,0.4,0.12,40,0.15,83.61663999999999,599aca876b939900012da2cd 5af478d820299700016d0748,55887149fdf99b5a49c225e3 5c8119441c40f30001b464b1 5d5eb70caf0eac00178c1a02,,2.0,2.0,3520cc47-ae72-49d6-99d6-1f9499a16b7d 331a7255-ffe4-4d56-a668-5c8e6de13b81 4dd9c7d3-2ba0-481c-9cac-7251a2699988 cbfbbc51-84c0-4a25-9654-b8808bef3c82 8d9f2618-318a-46d9-b58b-3e7d6c277716 4023a8d8-c690-402b-8119-e45cb3e7b603 c844c9fb-4126-4739-8020-73baa42281ff 226a6d08-780f-42fe-9b13-ed7370135c3e 617601de-3c3d-4777-b64e-735d1556dbd4 e9c73c1b-a7f0-4429-91ea-1f027c25dfbf e71fcc95-4371-411a-848d-fbb8454e3c1f ef9621ef-ff1b-4847-ad38-e0dca0ed1be4 ccde5c2d-2d89-4971-a4c8-d17500baf9af 3cd84228-941e-4261-942b-2a4efacf4c98 42483bdc-d543-413c-afb4-e55b1b2c5cd7 bd4b0222-4363-4f01-a95c-aecb33f4838c fb4c0f20-6c52-47c7-94ad-f157a9470b77 3e15e69f-4cbe-4e18-b5fe-7e06a33bb8fa d1d53b14-a959-4ec0-99c8-fb1b59fb2c60 d567fdef-9ec8-4478-801f-3d57f5d03c73,1.0,,,1.0,,,
red-pigweed,50,5,2,2,0.4,0.04,40,0.05,70.14782,5a4bf85dac413f0001e6076a 5bcbb1963c6f9f0001cc747a,5c73e0e1df19050016a5f8ea 5de77bbf6552bb6e9e080762 5de6dd9be3e0cc6642ea3b33,,,1.0,d752577d-da4e-407b-ba2a-205667de94e0 f1755ad5-664b-42ae-9c42-bf2dea570c3c 7d3f32e1-2c3a-416c-8262-2f4be371d560 4ca20e0f-3af8-457e-897a-71f69fb763fd 17e128d9-f0af-42d5-87c4-5392c01b599b ce2d1562-c67f-49e1-9aad-f932ad92909a fc2f2bdc-2c7c-48f0-9d26-8cc549d881d1 19adaaf3-2966-416a-9e3b-598644ce750c 01025881-3bd5-49b8-a0cf-009f785bbb8b c2e1a998-bb7b-4ccd-a063-11077d4334a8 0ff92338-ae11-4923-a1a3-b02b0204f3a8 250e2582-9300-4e56-8767-9ae36080398d 5a63bd2c-5dbc-425f-a448-cba5c449fefb ab9f5271-ac1e-43ff-bf73-66ee1887b5ca 02ffccb2-92df-4d9e-9e2d-10b1104fe1f1 e67d5ac8-6c02-412c-8725-c183d805e435 6eba8824-99fb-4567-81f5-643e84bb0ddf 08ad08b7-95f1-40ee-9f81-f788ee8e948b 2f8ed20b-ab2e-43cb-a19c-805240a5d2ee 7b54fb64-4698-422e-9113-eb7972d2a133,,,,1.0,,,
round-omelette,52,5,6,2,0.4,0.11538461538461539,40,0.15,79.41026666666667,5bab3e1f24c3260001663809 5d4ab5d644c0ee0001740f61,5a283ba153fc4b00014150ba 5c9104c4eeadb5001678f598 5d3de459ab640c0018694a58,,2.0,2.0,41f320cc-acd4-469c-83be-93247cab982d 8eeeed21-e661-4934-8e0f-32bb88c9ca84 c8630d13-4a8a-4063-abda-bb70f1d7255c ce2fa275-2b19-42c5-a368-0ce3d92b0557 b5401537-ceff-499c-b614-32f36c4c3479 462d572b-02fe-4cfd-b005-c74397311ac3 f7507f2a-982d-4625-aef8-12d8dd2ed317 c0b01db8-1a51-4d27-a157-0acdfb6ecabb 4853cc97-2e52-44a9-a592-de06d36e6b8c fa9f6c6f-e6e0-4264-a2c0-e514794c3565 c82edab2-d435-453c-a3b7-fd3831e6a887 6e8f613d-5edf-4ef5-8f3f-80d2c95b0de6 deab8df1-6f29-4637-b88f-9bbe7a7d3f46 91428fe9-d2a2-4534-92c3-10d059406b47 7e12df64-a6c8-4a74-8a95-475bf466fb95 7f705896-9cd9-4c41-a6f7-1995ee4001fa df96c9d7-7751-4cf5-9f47-4f2cd8eea182 798fce05-9268-4894-8dc9-287b4a3994c5 bd3885e9-9bd2-4c65-94bb-1bb2aa7729f3 8ce7de24-9a97-4a2c-a1a6-3fd0536ec29a,1.0,,,1.0,,,
red-vegetable,50,5,3,2,0.4,0.06,40,0.075,53.84756,5a4bf85dac413f0001e6076a 5bfa79fdb8a4c50001b8a68a,5c37b6c692952a0001b3216d 5d17a2f44c7891001601beec 5de6cc22271a1c64c9412187,,,2.0,458f228e-1a6a-4a16-84d9-275a8a222cd6 35b5be39-c90a-4237-9063-a3f05cb3772c 1384f9ce-5eab-4eea-97da-3b5a13b3b60f e02af1ab-b09b-4ec1-97f9-590c0837627c 08e23c19-0227-49f2-a6ab-14bc3fb45696 0f88bf8b-218c-40ed-ae91-5526e79e3259 0e0dc37f-19f1-4fe8-884b-94c703de7d5e 89cae629-e6ad-4b99-b005-247d194bdfb2 9931227e-2471-43da-91c1-85839541e11e a71b3f0b-6db6-4b34-af67-631532c862eb 0efab514-009d-498c-8ed3-d2e009df3bad 8851c8cd-5216-4aea-b9d2-c27139c140ba 0e69b20b-fc41-4eae-9b9c-73a1f3152917 f10696f9-dbf2-4587-bf04-98b2e96eed90 15d031d8-5820-4ae7-b782-e5b3b7132bc3 58a389fa-e4b3-4214-a267-aca98beefa64 df91aaf3-4153-4197-b92a-597e873fa29c f387e78b-f6d0-4a1a-ab06-9481a3df05c1 378ba904-197a-4667-a899-248dcb26a422 a5374a65-2787-4e1e-b4a8-1265d599ae53,1.0,,,,,,
red-bulgur,50,5,3,2,0.4,0.06,40,0.075,62.771339999999995,5cfa7e66b131cd001aa86c44 5d025e0959967a0019b3db84,5bec28bf65c4360001e8590c 5c28f3efdfe7fc0001cd8b28 5d1e2045a37a4d001a1fc2cb,,2.0,1.0,3af85838-29c0-48f9-bdac-ef16307143db d13bebf1-ccb1-4bbe-a6b6-8ff4ac9e6469 503d23a2-1190-4518-8e00-811550252ca7 a94a65b5-b5ab-4fdd-a8fd-b159d0bef3ef e5e8c5e2-4b97-477f-aba7-b9a42c9c329c dd8753ba-de35-425d-9ab7-9d12f823f6b2 02e1b6c8-0ec7-4a3d-9d2d-9210e0a07506 3052317b-a03f-4c90-871e-426a22640a36 e5604f66-6b10-4e38-b849-3baefd5be6de 19f3de40-0965-464d-8383-c2d2a9cbe139 a2214ec4-8ff1-4512-a779-fe5f0067532e 3f607148-4f6f-417c-b0d4-92e55436f4b4 c0d7190f-a214-4309-a6ec-1452937b2a9d 87565167-bb30-4ef1-af9c-c542e93cc083 7dc06cbd-491c-49c0-b61b-173ad086797f 2de236d2-3add-4c0f-bc33-a7486489d95f c9c93433-1ac1-4a85-86df-1318bd192a3e 057b4e04-4940-45f4-bd52-234bbaed4b02 77e7a7ad-1e56-4994-a590-794eb71358f7 22c7ba51-82b6-4789-bb39-91e7d44af54e,,,,,,,
roll-dowel,50,5,5,2,0.4,0.1,40,0.125,67.59326000000001,5b281303007d870001c7f24a 5c097af754deae0001ac6534,5cfa90ccd128950001311ed0 5d598dff48766d0001949fb6 5de6e6eda63c7b6655e3eb3b,2.0,1.0,2.0,3814445b-fcd7-45cc-9925-bcd02b71af4a 1f98a0ad-1e7a-443e-92f0-77bd8c841b68 97b75368-7373-4eb8-8c66-d76596432e40 42f6ad2c-a6be-4585-9c53-e6ef3d8724dd 082dae38-ce9b-4606-a2b2-7ebdeed18b9c bc092e6f-1f2a-4bbe-8ed2-80b1b8d893e1 257bc4c9-5850-4528-b69e-b76d658e4334 52089001-79c8-4d26-8963-5814a25b7aa3 7544042d-a501-4bdf-ae69-5ab4194da1bc 87ba321b-3277-4aaa-a2f7-2522186da192 38acb246-c859-4c58-8a69-0903e3bd4d55 3a95e2ee-60fc-41d6-b92a-29c5e3e57e78 8f805639-025c-4ab6-93d7-68094da33d1e da9c442d-24ed-4f26-a981-389f055d93ed 4db70aad-b080-46d8-8dae-46db3b081872 1fd17135-12b9-4917-a0e9-59b1557e114d 5d9d6d72-e22f-4e30-97c7-24b3f97fde61 c2175dbb-b2e5-4730-9d71-4849736c2a3c 73f2b349-37cd-4fb9-b6c0-33c8eb0228fb 309c1306-5131-499d-8815-ea04b6948b56,,,,,,,
red-peanut,50,5,2,2,0.4,0.04,40,0.05,53.84756,5bfa79fdb8a4c50001b8a68a 5c37b6c692952a0001b3216d,5a4bf85dac413f0001e6076a 5d17a2f44c7891001601beec 5de6cc22271a1c64c9412187,,,2.0,e79e51b1-ac2b-4700-8b38-b318c771c3e2 c1691164-aa0e-4ef3-be3f-2b8997761e48 648381db-8762-4059-be0e-4fd064f38879 9c5926a3-4dc8-401b-8c84-bf058d8fb797 b451bd0e-74e5-47fa-a7ca-42edeb7c04b4 59d2e7c5-b447-4fd5-a751-33f179dc00ea bcd0606b-3d59-4d8b-922c-8e8fb23dc60e 146e786c-058b-4b07-a30b-61e760c4c806 9a1b20ab-aa69-49e7-9998-9295b72df388 bf9b7fa1-361e-4b22-a241-f1e670bcdebd 1641ca02-69c3-4991-9170-5da7be90600f ecefbfa6-c253-414b-adf2-0cabc81188f9 86e2f9bc-c623-472d-912c-15929ef96608 b0f541f3-b32a-4308-a840-f88a1be8e6bf 60f7f039-7a1d-4429-aa04-cabfcd81e24f 0319ce91-875d-452e-b078-8a9421e9d448 b98d2410-b1d4-4e9b-82e9-292746e3636f d17c356e-52c8-4c74-9fa3-c62df62385a4 859d9a67-ade6-40bc-ae6a-dc3344c16cc5 52e74bc2-3c41-475f-ad34-daa4db7a947d,,,,,,,
red-lobster,50,5,6,2,0.4,0.12,40,0.15,53.84756,5bfa79fdb8a4c50001b8a68a 5c37b6c692952a0001b3216d,5a4bf85dac413f0001e6076a 5d17a2f44c7891001601beec 5de6cc22271a1c64c9412187,,2.0,2.0,94a18bc9-979b-4226-a966-389f82da85f1 a7133ba2-196b-40aa-a7c9-26d2f3466933 1b836a07-1342-4d18-9315-651263707cc6 81f9dcb5-0634-48b3-8f3c-c8fbd51b2e42 f0a1d283-c001-4c01-9be5-bdf4ce18eec4 82fb0361-ac44-4351-88fb-436687ee12fa 0cace692-9cf5-4284-a03e-cb2862cdce07 0874d9de-0c56-4300-a3b4-c5bf498e9854 b9a70ad7-b58d-4cb3-b300-544842742ab0 489a88ef-441a-42bb-8be4-e28d406fa2ec 4d1e9600-9941-4cfe-9a02-a410b1bc6af4 cc3b9e1f-3ce5-477e-87b8-1ef01f25e90d 731bb921-d0f2-4be2-9029-2cd7b4aebebf 3dd57699-3a7c-42dc-a769-21a51d3d58b2 9e03c710-a648-434e-a802-db7653947331 123cc7a8-9001-4d7d-b7d2-d6c682df7176 1df0cb7b-be54-4541-a3e0-07fd87237402 1537dc2e-476b-444f-92fc-fc57d2cf32c1 9e39f499-b710-49db-ba32-a860ed32ec99 b3cb4389-c33e-433e-885f-66b14514d418,1.0,,,1.0,,,
roll-eyelet,50,5,7,2,0.4,0.14,40,0.175,83.61663999999999,599aca876b939900012da2cd 5af478d820299700016d0748,55887149fdf99b5a49c225e3 5c8119441c40f30001b464b1 5d5eb70caf0eac00178c1a02,1.0,2.0,2.0,68d433a7-5b99-44a5-ab06-4885e50400d4 e15d393e-a45a-441b-977a-efd35d0d846d 4a526a4d-7d32-4035-8f86-95e84a9d9388 a458018a-8ebf-428b-9c45-1804194c052b aa2990c6-2620-460a-9eb8-e258f459f7ed b0caf52b-9070-4af0-b3bd-d11c65516e77 650b4bde-1886-4cd1-acdc-309977c38356 6412abb7-b3e9-49d0-81d9-4823d4ebf1af f90b36a0-e9eb-4b49-b4a0-4cb103a03ced 21f0920c-4d84-4836-985e-e1099030f39b a841d64f-32b5-43d2-9646-0c8b0736d5a4 3717cf9e-e24a-44cd-86dd-43571f7c55a2 6152ea90-74ef-40a9-b5d9-a5ceb609c753 222cadf6-10e2-464f-bc7f-39f1489f166f cd5608fe-8db5-4d02-bca5-89bdae8375f4 d4fdbb82-024f-4935-9070-09b5632eadf1 23413ab0-0fa9-45f9-8c5a-7054bd28fb54 6d25ebda-5322-4a19-9ed5-f6071e4db3c2 99f9379c-faf3-4ef2-9934-61a794d03265 b30af384-ed1d-4303-88ef-835f55bc2dc1,2.0,,,,,,
