label,categories_str,sources_str,certainty,cosine_centroid,selection ,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,word_noun_spacy?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,filter,conc,fam,aoa
pos,is_found_in_seas,cslb_crowd_pos,certain,0.4926541029,,-,False,-,sturgeon,sturgeon,4192,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.4974300735,,-,False,-,gurnard,gurnard,200,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.4988768226,,-,False,-,walleye,walleye,1421,True,True,True,0,0,2,0.07407407407407407,0.07407407407407407,,,abs-conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.5039910823,,-,False,-,bluegill,bluegill,899,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.5063636403,,-,False,-,cuttlefish,cuttlefish,830,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.5172728013,,-,False,-,pilchard,pilchard,205,True,True,True,1,0,2,0.16666666666666666,0.16666666666666666,mon,,conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.529381988,,-,False,-,abalone,abalone,957,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5295736734,,-,False,-,pinniped,pinniped,101,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5296113776,,-,False,-,goby,goby,1426,True,True,False,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5297303941,,-,False,-,trawls,trawls,395,True,True,True,0,0,3,0.5,0.5,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5297331892,,-,False,-,topminnow,topminnow,135,True,True,True,1,0,2,0.9090909090909091,0.9090909090909091,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5302730839,,-,False,-,poropuntius,poropuntius,121,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5303610141,,-,False,-,mysis,mysis,113,True,True,True,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5305484153,,-,False,-,ocellatus,ocellatus,228,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.53064306,,-,False,-,squirrelfish,squirrelfish,105,True,True,True,1,0,2,0.875,0.875,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5309262424,,-,False,-,fisheries,fishery,16317,True,True,True,0,0,1,1.0,1.0,mon,non-met,conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.5310892443,,-,False,-,humpback,humpback,1408,True,True,True,3,0,3,0.08,0.23111111111111113,mon,,abs-conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5311710915,,-,False,-,suckermouth,suckermouth,116,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5321626347,,-,False,-,mykiss,mykis,313,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5323361016,,-,False,-,oysters,oyster,2825,True,True,True,2,0,4,0.1111111111111111,0.1516569200779727,poly,non-met,abs-conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5323725224,,-,False,-,clams,clam,2317,True,True,True,2,0,4,0.09523809523809523,0.13895850737956,homonyms_only_different_pos,,abs-conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.5323829231,,-,False,-,longline,longline,287,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5324692535,,-,False,-,wrasse,wrasse,854,True,True,False,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5329097701,,-,False,-,anadromous,anadromous,606,True,False,False,0,0,1,1.0,1.0,,,-,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.5332711215,,-,False,-,bream,bream,1505,True,True,True,1,0,5,0.16,0.3854040404040404,poly,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.533325283,,-,False,-,jellyfish,jellyfish,2630,True,True,True,1,0,2,0.8181818181818182,0.8181818181818182,mon,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5333715774,,-,False,-,tursiops,tursiop,101,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5335852357,,-,False,-,anthiinae,anthiinae,117,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5337837919,,-,False,-,flounder,flounder,1183,True,True,True,2,0,4,0.16,0.19111111111111112,homonyms_only_different_pos,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5339678325,,-,False,-,haliotis,haliotis,258,True,True,True,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5347737572,,-,False,-,tilapia,tilapia,1011,True,True,True,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.53508197,,-,False,-,goniodorididae,goniodorididae,121,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5352510971,,-,False,-,unionidae,unionidae,286,True,True,False,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5353362096,,-,False,-,perch,perch,5129,True,True,True,5,3,10,0.08695652173913043,0.2435400808874274,homonyms_only_different_pos,met,abs-conc,False,576,396,414
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5353712172,,-,False,-,trapania,trapania,149,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5361125883,,-,False,-,scyliorhinidae,scyliorhinidae,164,True,True,True,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5364534096,,-,False,-,zooplankton,zooplankton,1348,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5364597886,,-,False,-,oreochromis,oreochromis,177,False,False,True,0,0,0,None,,,,-,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.5373204083,,-,False,-,kelp,kelp,1821,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5374840387,,-,False,-,scallops,scallop,870,True,True,True,5,0,9,0.10526315789473684,0.19090161483253587,homonyms_only_different_pos,,abs-conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5380144501,,-,False,-,fundulus,fundulus,118,True,True,True,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5388533008,,-,False,-,acanthurus,acanthurus,112,True,True,False,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5389584169,,-,False,-,mydas,mydas,162,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5389803637,,-,False,-,blacktip,blacktip,307,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5391519414,,-,False,-,gillnets,gillnet,233,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5393393378,,-,False,-,mergansers,merganser,136,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5394596251,,-,False,-,gorgonians,gorgonian,107,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5398713385,,-,False,-,mussel,mussel,2046,True,True,True,1,0,2,0.21052631578947367,0.21052631578947367,mon,non-met,conc,False,618,396,414
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5401246047,,-,False,-,characin,characin,125,True,True,False,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5407982778,,-,False,-,auritus,auritus,113,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.540863903,,-,False,-,killifish,killifish,416,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5409203003,,-,False,-,babelomurex,babelomurex,112,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5411856235,,-,False,-,toothfish,toothfish,224,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5425426617,,-,False,-,propebela,propebela,109,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5425788645,,-,False,-,schizothorax,schizothorax,200,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5429890125,,-,False,-,lanternshark,lanternshark,146,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5430929301,,-,False,-,silverside,silverside,230,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5436644009,,-,False,-,barramundi,barramundi,207,True,True,True,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5437875499,,-,False,-,gulper,gulper,157,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.5439112667,,-,False,-,sculpin,sculpin,689,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.544007868,,-,False,-,rockfish,rockfish,681,True,True,True,1,0,3,0.16,0.3806060606060606,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5446885638,,-,False,-,salvelinus,salvelinus,233,True,True,True,0,0,1,1.0,1.0,,,abs,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.5448045344,,-,False,-,anchovy,anchovy,471,True,True,True,1,0,2,0.18181818181818182,0.18181818181818182,mon,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5448210738,,-,False,-,saury,saury,132,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5448420724,,-,False,-,longnose,longnose,390,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5452051185,,-,False,-,warmwater,warmwater,140,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.54537497,,-,False,-,vendace,vendace,102,False,False,True,0,0,0,None,,,,-,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.5458859861,,-,False,-,crustacean,crustacean,1104,True,True,True,0,0,2,None,,mon,,conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.5461471016,,-,False,-,grouper,grouper,857,True,True,True,1,0,2,0.18181818181818182,0.18181818181818182,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5463358614,,-,False,-,capelin,capelin,220,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5464113375,,-,False,-,tuna,tuna,5163,True,True,True,2,0,4,0.16666666666666666,0.37559884559884554,poly,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5466869962,,-,False,-,epipelagic,epipelagic,152,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.546729057,,-,False,-,latirus,latirus,143,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5470392204,,-,False,-,mesopelagic,mesopelagic,244,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5473064132,,-,False,-,overfished,overfish,197,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5475415718,,-,False,-,chromis,chromis,166,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.547667835,,-,False,-,peristernia,peristernia,105,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5477446092,,-,False,-,baitfish,baitfish,127,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5479876085,,-,False,-,catshark,catshark,885,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5483051562,,-,False,-,milkfish,milkfish,135,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5483267135,,-,False,-,panfish,panfish,198,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5488885938,,-,False,-,midwater,midwater,161,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5490945195,,-,False,-,crayfish,crayfish,2104,True,True,True,1,0,4,0.19047619047619047,0.4226587301587301,poly,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5492831993,,-,False,-,fished,fish,2180,True,True,False,3,3,6,0.23529411764705882,0.3643009283212733,homonyms_only_different_pos,non-met,conc-n,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5493047021,,-,False,-,benthic,benthic,2413,True,False,False,0,0,1,1.0,1.0,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5494833528,,-,False,-,bathyal,bathyal,103,True,False,True,0,0,1,1.0,1.0,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5495638074,,-,False,-,carangidae,carangidae,213,True,True,False,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.550023927,,-,False,-,yellowfish,yellowfish,102,False,False,True,0,0,0,None,,,,-,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.5502656289,,-,False,-,whitebait,whitebait,176,True,True,False,1,0,2,0.21052631578947367,0.21052631578947367,mon,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5516926731,,-,False,-,abalones,abalone,139,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.551738838,,-,False,-,shrimps,shrimp,974,True,True,True,1,0,4,0.21052631578947367,0.3632157316367843,poly,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5519802648,,-,False,-,pipefish,pipefish,493,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5519997471,,-,False,-,lizardfish,lizardfish,286,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5523336946,,-,False,-,echinolittorina,echinolittorina,124,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.55278177,,-,False,-,coralliophila,coralliophila,110,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5537062562,,-,False,-,seabirds,seabird,2263,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5541644238,,-,False,-,trevally,trevally,715,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5551432961,,-,False,-,amberjack,amberjack,143,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5553625901,,-,False,-,pilchards,pilchard,140,True,True,True,1,0,2,0.16666666666666666,0.16666666666666666,mon,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5555911517,,-,False,-,cardinalfish,cardinalfish,179,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5558522686,,-,False,-,neritic,neritic,116,True,False,False,1,0,2,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5573369246,,-,False,-,alosa,alosa,163,True,True,False,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5586044015,,-,False,-,surgeonfish,surgeonfish,159,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5595413297,,-,False,-,micropterus,micropterus,146,True,True,True,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5602761792,,-,False,-,sawshark,sawshark,106,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5607753281,,-,False,-,neritidae,neritidae,114,True,True,True,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5630423054,,-,False,-,salmon,salmon,19910,True,True,True,1,0,5,0.09523809523809523,0.17460317460317462,poly,non-met,abs-conc-n,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5632610841,,-,False,-,tilefish,tilefish,146,True,True,True,1,0,2,0.9375,0.9375,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5632770806,,-,False,-,pomacentridae,pomacentridae,110,True,True,True,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5634501486,,-,False,-,pagurus,pagurus,111,True,True,True,0,0,1,1.0,1.0,,,abs,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5639701368,,-,False,-,blacknose,blacknose,110,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5651637635,,-,False,-,blennies,blenny,221,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5651955648,,-,False,-,smallmouth,smallmouth,973,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.5654771933,,-,False,-,sunfish,sunfish,1527,True,True,True,2,0,3,0.16666666666666666,0.40277777777777773,mon,,conc,False,,,
